direction,role,step,active_structural_group_count,absence_fraction,evidence_class
afro_cuban,Kick,1,7,1.0,RESEARCH_AGGREGATE
afro_cuban,Kick,2,7,1.0,RESEARCH_AGGREGATE
afro_cuban,Kick,5,7,1.0,RESEARCH_AGGREGATE
afro_cuban,Kick,9,7,1.0,RESEARCH_AGGREGATE
afro_cuban,Kick,13,7,1.0,RESEARCH_AGGREGATE
basic_patterns,Kick,1,5,1.0,RESEARCH_AGGREGATE
basic_patterns,Kick,5,5,1.0,RESEARCH_AGGREGATE
basic_patterns,Kick,9,5,1.0,RESEARCH_AGGREGATE
basic_patterns,Kick,11,5,1.0,RESEARCH_AGGREGATE
basic_patterns,Kick,13,5,1.0,RESEARCH_AGGREGATE
basic_patterns,Kick,15,5,1.0,RESEARCH_AGGREGATE
breaks,Kick,1,55,0.963636,RESEARCH_AGGREGATE
breaks,Kick,4,55,0.963636,RESEARCH_AGGREGATE
breaks,Kick,5,55,0.963636,RESEARCH_AGGREGATE
breaks,Kick,9,55,0.927273,RESEARCH_AGGREGATE
breaks,Kick,11,55,0.909091,RESEARCH_AGGREGATE
breaks,Kick,12,55,0.909091,RESEARCH_AGGREGATE
breaks,Kick,13,55,0.927273,RESEARCH_AGGREGATE
breaks,Kick,14,55,0.927273,RESEARCH_AGGREGATE
breaks,Kick,15,55,1.0,RESEARCH_AGGREGATE
breaks,Backbeat,2,64,0.953125,RESEARCH_AGGREGATE
breaks,Backbeat,3,64,0.953125,RESEARCH_AGGREGATE
breaks,Backbeat,5,64,0.96875,RESEARCH_AGGREGATE
breaks,Backbeat,6,64,0.921875,RESEARCH_AGGREGATE
breaks,Backbeat,11,64,0.953125,RESEARCH_AGGREGATE
breaks,Backbeat,13,64,0.9375,RESEARCH_AGGREGATE
breaks,Backbeat,14,64,0.90625,RESEARCH_AGGREGATE
breaks,Percussion,1,7,1.0,RESEARCH_AGGREGATE
breaks,Percussion,5,7,1.0,RESEARCH_AGGREGATE
drum_and_bass,Kick,5,9,1.0,RESEARCH_AGGREGATE
drum_and_bass,Kick,12,9,1.0,RESEARCH_AGGREGATE
drum_and_bass,Kick,13,9,1.0,RESEARCH_AGGREGATE
drum_and_bass,Kick,14,9,1.0,RESEARCH_AGGREGATE
drum_and_bass,Backbeat,0,9,1.0,RESEARCH_AGGREGATE
drum_and_bass,Backbeat,2,9,1.0,RESEARCH_AGGREGATE
drum_and_bass,Backbeat,3,9,1.0,RESEARCH_AGGREGATE
drum_and_bass,Backbeat,5,9,1.0,RESEARCH_AGGREGATE
drum_and_bass,Backbeat,6,9,1.0,RESEARCH_AGGREGATE
drum_and_bass,Backbeat,8,9,1.0,RESEARCH_AGGREGATE
drum_and_bass,Backbeat,11,9,1.0,RESEARCH_AGGREGATE
drum_and_bass,Backbeat,13,9,1.0,RESEARCH_AGGREGATE
drum_and_bass,Backbeat,15,9,1.0,RESEARCH_AGGREGATE
edm,Kick,1,7,1.0,RESEARCH_AGGREGATE
edm,Kick,2,7,1.0,RESEARCH_AGGREGATE
edm,Kick,5,7,1.0,RESEARCH_AGGREGATE
edm,Kick,7,7,1.0,RESEARCH_AGGREGATE
edm,Kick,9,7,1.0,RESEARCH_AGGREGATE
edm,Kick,13,7,1.0,RESEARCH_AGGREGATE
