domain,evidence_class,direction,structural_group_count,coincide_fraction,target_in_gaps_fraction,respond_1_3_fraction,anticipate_1_2_fraction,source_response_window_fraction
KickToBackbeat,RESEARCH_AGGREGATE,basic_patterns,4,0.0,1.0,0.25,0.5,0.625
KickToBackbeat,RESEARCH_AGGREGATE,breaks,55,0.0,1.0,0.5,0.25,1.0
KickToBackbeat,RESEARCH_AGGREGATE,drum_and_bass,9,0.0,1.0,0.5,0.0,1.0
KickToBackbeat,RESEARCH_AGGREGATE,dub,4,1.0,0.0,0.0,0.0,0.0
KickToBackbeat,RESEARCH_AGGREGATE,edm,7,0.0,1.0,0.5,0.0,1.0
KickToBackbeat,RESEARCH_AGGREGATE,electro,8,0.0,1.0,0.5,0.5,0.5
KickToBackbeat,RESEARCH_AGGREGATE,funk_soul,80,0.0,1.0,0.585714,0.4,0.8
KickToBackbeat,RESEARCH_AGGREGATE,hip_hop,26,0.0,1.0,1.0,0.1,0.666667
KickToBackbeat,RESEARCH_AGGREGATE,house,10,1.0,0.0,0.0,0.0,0.5
KickToBackbeat,RESEARCH_AGGREGATE,miami_bass,4,0.0,1.0,0.5,0.75,0.5
KickToBackbeat,RESEARCH_AGGREGATE,pop,6,0.0,1.0,1.0,0.0,0.9
KickToBackbeat,RESEARCH_AGGREGATE,reggaeton,4,0.238095,0.761905,0.333333,0.22619,1.0
KickToBackbeat,RESEARCH_AGGREGATE,rock,4,0.0,1.0,0.5,0.0,0.75
KickToClosedHat,RESEARCH_AGGREGATE,breaks,4,0.236111,0.763889,0.361111,0.236111,1.0
KickToClosedHat,RESEARCH_AGGREGATE,drum_and_bass,9,0.25,0.75,0.375,0.25,1.0
KickToClosedHat,RESEARCH_AGGREGATE,dub,4,0.1875,0.8125,0.1875,0.125,1.0
KickToClosedHat,RESEARCH_AGGREGATE,edm,7,0.166667,0.833333,0.6,0.0,1.0
KickToClosedHat,RESEARCH_AGGREGATE,funk_soul,13,0.375,0.625,0.5,0.375,1.0
KickToClosedHat,RESEARCH_AGGREGATE,hip_hop,14,0.310096,0.689904,0.535714,0.395833,1.0
KickToClosedHat,RESEARCH_AGGREGATE,house,8,0.291667,0.708333,0.875,0.375,0.791667
KickToClosedHat,RESEARCH_AGGREGATE,miami_bass,4,0.240385,0.759615,0.418269,0.24359,1.0
KickToClosedHat,RESEARCH_AGGREGATE,pop,5,0.3125,0.6875,0.75,0.4375,1.0
KickToClosedHat,RESEARCH_AGGREGATE,reggaeton,3,0.333333,0.666667,0.5,0.25,1.0
KickToClosedHat,RESEARCH_AGGREGATE,rock,4,0.375,0.625,0.5,0.25,1.0
KickToOpenHat,RESEARCH_AGGREGATE,drum_and_bass,3,1.0,0.0,0.0,0.5,0.0
KickToOpenHat,RESEARCH_AGGREGATE,edm,5,0.0,1.0,1.0,0.5,0.75
KickToOpenHat,RESEARCH_AGGREGATE,funk_soul,4,0.25,0.75,1.0,0.0,0.45
KickToOpenHat,RESEARCH_AGGREGATE,hip_hop,8,0.325,0.675,0.55,0.0,0.425
KickToOpenHat,RESEARCH_AGGREGATE,house,8,0.0,1.0,1.0,0.75,1.0
KickToOpenHat,RESEARCH_AGGREGATE,pop,6,0.2,0.8,0.5,0.525,0.9
KickToPercussion,RESEARCH_AGGREGATE,afro_cuban,7,0.454545,0.545455,0.888889,0.6875,0.875
KickToPercussion,RESEARCH_AGGREGATE,funk_soul,73,0.333333,0.666667,0.538462,0.428571,0.875
KickToPercussion,RESEARCH_AGGREGATE,hip_hop,8,0.173611,0.826389,0.708333,0.409722,0.875
KickToPercussion,RESEARCH_AGGREGATE,house,7,0.333333,0.666667,0.8,0.625,1.0
KickToPercussion,RESEARCH_AGGREGATE,pop,4,0.714286,0.285714,0.714286,0.428571,0.714286
KickToBassRhythm,PROJECT_OWNED_EXACT,acid_house,4,0.176923,0.823077,0.823077,0.392308,1.0
KickToBassRhythm,PROJECT_OWNED_EXACT,boombap,5,1.0,0.0,0.6,0.0,0.714286
KickToBassRhythm,PROJECT_OWNED_EXACT,dub_techno,6,0.5,0.5,0.5,0.3,0.75
KickToBassRhythm,PROJECT_OWNED_EXACT,jungle,4,0.733333,0.266667,0.333333,0.5,0.266667
KickToBassRhythm,PROJECT_OWNED_EXACT,lofi,4,0.583333,0.416667,0.533333,0.266667,0.8
KickToBassRhythm,PROJECT_OWNED_EXACT,uk_garage,5,0.333333,0.666667,0.25,0.333333,0.4
