exact_base	c1rf_head	genre	recipe_id	recipe	original_c1_classification	classification	declared_difference_domains	reachable_difference_domains	unreachable_difference_domains	unreliable_difference_domains	unmapped_trace_domains	shared_single_option_domains	shared_policy_restrictions	owner_unresolved_domains	failure_sensitive_domains	policy_inconsistency_domains	fallback_trace_difference_domains	runtime_trace_difference_domains	notes
0a2a6211ef00dcf2214dfd4704b6c34b424b1c9d	574b830526c784ffe761286096dd62e22d6361d4	Acid	6	Chicago Jack	MEMBERSHIP-CHANGE;MULTI-DOMAIN	REACHABLE_POLICY_DIFFERENCE;MIXED_REACHABILITY;PARTIALLY_REACHABLE;FAILURE_SENSITIVE	CORRIDOR_BPM_BOUNDS;CORRIDOR_DENSITY;CORRIDOR_SUGGESTED_BPM;DRUM_POLICY;PHRASE_EVOLUTION:MEMBERSHIP;PHRASE_LENGTH:MEMBERSHIP;RHYTHM_COMPATIBILITY:MEMBERSHIP	DRUM_POLICY;RHYTHM_COMPATIBILITY:MEMBERSHIP	CORRIDOR_BPM_BOUNDS;CORRIDOR_DENSITY;PHRASE_EVOLUTION:MEMBERSHIP	CORRIDOR_SUGGESTED_BPM;PHRASE_LENGTH:MEMBERSHIP	ATLAS_METADATA	tonal.bass_articulation=PLAIN;tonal.melodic_motif_operation=NONE;tonal.melodic_rhythm_operation=PRESERVE	tonal.bass_articulation=PLAIN;tonal.melodic_motif_operation=NONE;tonal.melodic_rhythm_operation=PRESERVE;tonal.source=kAcidProfile	NONE	NORMAL_GENRE_STRONG_MIGRATION_PUBLICATION	NONE	LEGACY_BEHAVIOR;LEGACY_DRUM;LEGACY_PARAMS;LEGACY_TIMBRE	ATLAS_METADATA	GF2_C2=BLOCKED;REACHABLE_ONLY_VIA_RHYTHM_AND_DRUM
0a2a6211ef00dcf2214dfd4704b6c34b424b1c9d	574b830526c784ffe761286096dd62e22d6361d4	Acid	7	Rolling Acid	MEMBERSHIP-CHANGE;MULTI-DOMAIN	REACHABLE_POLICY_DIFFERENCE;MIXED_REACHABILITY;PARTIALLY_REACHABLE;FAILURE_SENSITIVE	CORRIDOR_BPM_BOUNDS;CORRIDOR_DENSITY;CORRIDOR_SUGGESTED_BPM;DRUM_POLICY;RHYTHM_COMPATIBILITY:MEMBERSHIP	DRUM_POLICY;RHYTHM_COMPATIBILITY:MEMBERSHIP	CORRIDOR_BPM_BOUNDS;CORRIDOR_DENSITY	CORRIDOR_SUGGESTED_BPM	ATLAS_METADATA	tonal.bass_articulation=PLAIN;tonal.melodic_motif_operation=NONE;tonal.melodic_rhythm_operation=PRESERVE	tonal.bass_articulation=PLAIN;tonal.melodic_motif_operation=NONE;tonal.melodic_rhythm_operation=PRESERVE;tonal.source=kAcidProfile	NONE	NORMAL_GENRE_STRONG_MIGRATION_PUBLICATION	NONE	LEGACY_BEHAVIOR;LEGACY_DRUM;LEGACY_PARAMS;LEGACY_TIMBRE	ATLAS_METADATA	GF2_C2=BLOCKED;REACHABLE_ONLY_VIA_RHYTHM_AND_DRUM
0a2a6211ef00dcf2214dfd4704b6c34b424b1c9d	574b830526c784ffe761286096dd62e22d6361d4	Rave	4	Psytrance	MEMBERSHIP-CHANGE;MULTI-DOMAIN	REACHABLE_POLICY_DIFFERENCE;MIXED_REACHABILITY;FAILURE_SENSITIVE	CORRIDOR_BPM_BOUNDS;CORRIDOR_DENSITY;DRUM_POLICY;RHYTHM_COMPATIBILITY:MEMBERSHIP	DRUM_POLICY;RHYTHM_COMPATIBILITY:MEMBERSHIP	CORRIDOR_BPM_BOUNDS;CORRIDOR_DENSITY	NONE	NONE	tonal.bass_articulation=PLAIN;tonal.bass_contour=ROOT ANCHOR;tonal.melodic_contour=STATIC;tonal.melodic_motif_operation=NONE;tonal.melodic_rhythm_operation=PRESERVE	tonal.bass_articulation=PLAIN;tonal.bass_contour=ROOT ANCHOR;tonal.melodic_contour=STATIC;tonal.melodic_motif_operation=NONE;tonal.melodic_rhythm_operation=PRESERVE;tonal.source=kStaticProfile	NONE	NORMAL_GENRE_STRONG_MIGRATION_PUBLICATION	NONE	LEGACY_DRUM;LEGACY_PARAMS	NONE	GF2_C2=BLOCKED;REACHABLE_ONLY_VIA_RHYTHM_AND_DRUM
0a2a6211ef00dcf2214dfd4704b6c34b424b1c9d	574b830526c784ffe761286096dd62e22d6361d4	Dub/Reggae	5	Dub Techno	MULTI-DOMAIN	REACHABLE_POLICY_DIFFERENCE;MIXED_REACHABILITY;FAILURE_SENSITIVE	CORRIDOR_BPM_BOUNDS;CORRIDOR_DENSITY;CORRIDOR_SUGGESTED_BPM;DRUM_POLICY;RHYTHM_COMPATIBILITY:WEIGHTS	CORRIDOR_SUGGESTED_BPM;DRUM_POLICY;RHYTHM_COMPATIBILITY:WEIGHTS	CORRIDOR_BPM_BOUNDS;CORRIDOR_DENSITY	NONE	NONE	tonal.bass_articulation=PLAIN;tonal.melodic_contour=STATIC;tonal.melodic_motif_operation=NONE;tonal.melodic_rhythm_operation=PRESERVE	tonal.bass_articulation=PLAIN;tonal.melodic_contour=STATIC;tonal.melodic_motif_operation=NONE;tonal.melodic_rhythm_operation=PRESERVE;tonal.source=kDubProfile	NONE	NORMAL_GENRE_STRONG_MIGRATION_PUBLICATION	NONE	LEGACY_DRUM;LEGACY_PARAMS	NONE	GF2_C2=BLOCKED
0a2a6211ef00dcf2214dfd4704b6c34b424b1c9d	574b830526c784ffe761286096dd62e22d6361d4	Dub/Reggae	10	Deep Chord	MEMBERSHIP-CHANGE;MULTI-DOMAIN	REACHABLE_POLICY_DIFFERENCE;MIXED_REACHABILITY;PARTIALLY_REACHABLE;FAILURE_SENSITIVE	CORRIDOR_BPM_BOUNDS;CORRIDOR_DENSITY;CORRIDOR_SUGGESTED_BPM;DRUM_POLICY;PROFILE_FEEL:MEMBERSHIP;RHYTHM_COMPATIBILITY:MEMBERSHIP	DRUM_POLICY;RHYTHM_COMPATIBILITY:MEMBERSHIP	CORRIDOR_BPM_BOUNDS;CORRIDOR_DENSITY;PROFILE_FEEL:MEMBERSHIP	CORRIDOR_SUGGESTED_BPM	ATLAS_METADATA	tonal.bass_articulation=PLAIN;tonal.melodic_contour=STATIC;tonal.melodic_motif_operation=NONE;tonal.melodic_rhythm_operation=PRESERVE	tonal.bass_articulation=PLAIN;tonal.melodic_contour=STATIC;tonal.melodic_motif_operation=NONE;tonal.melodic_rhythm_operation=PRESERVE;tonal.source=kDubProfile	NONE	NORMAL_GENRE_STRONG_MIGRATION_PUBLICATION	NONE	LEGACY_BEHAVIOR;LEGACY_DRUM;LEGACY_PARAMS;LEGACY_TIMBRE	ATLAS_METADATA	GF2_C2=BLOCKED;REACHABLE_ONLY_VIA_RHYTHM_AND_DRUM
0a2a6211ef00dcf2214dfd4704b6c34b424b1c9d	574b830526c784ffe761286096dd62e22d6361d4	Dub/Reggae	11	Minimal Space	MEMBERSHIP-CHANGE;MULTI-DOMAIN	REACHABLE_POLICY_DIFFERENCE;MIXED_REACHABILITY;PARTIALLY_REACHABLE;FAILURE_SENSITIVE;POLICY_INCONSISTENCY_AFFECTED	CORRIDOR_BPM_BOUNDS;CORRIDOR_DENSITY;CORRIDOR_SUGGESTED_BPM;DRUM_POLICY;RHYTHM_COMPATIBILITY:MEMBERSHIP	DRUM_POLICY;RHYTHM_COMPATIBILITY:MEMBERSHIP	CORRIDOR_BPM_BOUNDS;CORRIDOR_DENSITY	CORRIDOR_SUGGESTED_BPM	ATLAS_METADATA	tonal.bass_articulation=PLAIN;tonal.melodic_contour=STATIC;tonal.melodic_motif_operation=NONE;tonal.melodic_rhythm_operation=PRESERVE	tonal.bass_articulation=PLAIN;tonal.melodic_contour=STATIC;tonal.melodic_motif_operation=NONE;tonal.melodic_rhythm_operation=PRESERVE;tonal.source=kDubProfile	NONE	NORMAL_GENRE_STRONG_MIGRATION_PUBLICATION	MINIMAL_SPACE_TEMPO	LEGACY_BEHAVIOR;LEGACY_DRUM;LEGACY_PARAMS;LEGACY_TIMBRE	ATLAS_METADATA	GF2_C2=BLOCKED;REACHABLE_ONLY_VIA_RHYTHM_AND_DRUM;DECLARATIVE_POLICY_INCONSISTENCY_OPEN
0a2a6211ef00dcf2214dfd4704b6c34b424b1c9d	574b830526c784ffe761286096dd62e22d6361d4	Breaks	1	UK Garage	MEMBERSHIP-CHANGE;MULTI-DOMAIN	REACHABLE_POLICY_DIFFERENCE;MIXED_REACHABILITY;FAILURE_SENSITIVE	CORRIDOR_BPM_BOUNDS;CORRIDOR_DENSITY;DRUM_POLICY;RHYTHM_COMPATIBILITY:MEMBERSHIP	DRUM_POLICY;RHYTHM_COMPATIBILITY:MEMBERSHIP	CORRIDOR_BPM_BOUNDS;CORRIDOR_DENSITY	NONE	NONE	tonal.bass_articulation=PLAIN;tonal.melodic_motif_operation=NONE;tonal.melodic_rhythm_operation=PRESERVE	tonal.bass_articulation=PLAIN;tonal.melodic_motif_operation=NONE;tonal.melodic_rhythm_operation=PRESERVE;tonal.source=kBrokenProfile	NONE	NORMAL_GENRE_STRONG_MIGRATION_PUBLICATION	NONE	LEGACY_DRUM;LEGACY_PARAMS	NONE	GF2_C2=BLOCKED;REACHABLE_ONLY_VIA_RHYTHM_AND_DRUM
0a2a6211ef00dcf2214dfd4704b6c34b424b1c9d	574b830526c784ffe761286096dd62e22d6361d4	Breaks	2	Drum&Bass	MEMBERSHIP-CHANGE;MULTI-DOMAIN	REACHABLE_POLICY_DIFFERENCE;MIXED_REACHABILITY;PARTIALLY_REACHABLE;FAILURE_SENSITIVE	BASS_RHYTHM:MEMBERSHIP;CORRIDOR_BPM_BOUNDS;CORRIDOR_DENSITY;CORRIDOR_SUGGESTED_BPM;DRUM_POLICY;PHRASE_EVOLUTION:MEMBERSHIP;PHRASE_LENGTH:MEMBERSHIP;PROFILE_FEEL:MEMBERSHIP;RHYTHM_COMPATIBILITY:MEMBERSHIP	BASS_RHYTHM:MEMBERSHIP;CORRIDOR_SUGGESTED_BPM;DRUM_POLICY;RHYTHM_COMPATIBILITY:MEMBERSHIP	CORRIDOR_BPM_BOUNDS;CORRIDOR_DENSITY;PHRASE_EVOLUTION:MEMBERSHIP;PROFILE_FEEL:MEMBERSHIP	PHRASE_LENGTH:MEMBERSHIP	NONE	tonal.bass_articulation=PLAIN;tonal.melodic_motif_operation=NONE;tonal.melodic_rhythm_operation=PRESERVE	tonal.bass_articulation=PLAIN;tonal.melodic_motif_operation=NONE;tonal.melodic_rhythm_operation=PRESERVE;tonal.source=kBrokenProfile	NONE	NORMAL_GENRE_STRONG_MIGRATION_PUBLICATION	NONE	LEGACY_DRUM;LEGACY_PARAMS	NONE	GF2_C2=BLOCKED
0a2a6211ef00dcf2214dfd4704b6c34b424b1c9d	574b830526c784ffe761286096dd62e22d6361d4	Breaks	3	Footwork	MEMBERSHIP-CHANGE;MULTI-DOMAIN	REACHABLE_POLICY_DIFFERENCE;MIXED_REACHABILITY;FAILURE_SENSITIVE	CORRIDOR_BPM_BOUNDS;CORRIDOR_DENSITY;CORRIDOR_SUGGESTED_BPM;DRUM_POLICY;RHYTHM_COMPATIBILITY:MEMBERSHIP	CORRIDOR_SUGGESTED_BPM;DRUM_POLICY;RHYTHM_COMPATIBILITY:MEMBERSHIP	CORRIDOR_BPM_BOUNDS;CORRIDOR_DENSITY	NONE	NONE	tonal.bass_articulation=PLAIN;tonal.melodic_motif_operation=NONE;tonal.melodic_rhythm_operation=PRESERVE	tonal.bass_articulation=PLAIN;tonal.melodic_motif_operation=NONE;tonal.melodic_rhythm_operation=PRESERVE;tonal.source=kBrokenProfile	NONE	NORMAL_GENRE_STRONG_MIGRATION_PUBLICATION	NONE	LEGACY_DRUM;LEGACY_PARAMS	NONE	GF2_C2=BLOCKED
0a2a6211ef00dcf2214dfd4704b6c34b424b1c9d	574b830526c784ffe761286096dd62e22d6361d4	Breaks	8	Classic 2-Step	MEMBERSHIP-CHANGE;MULTI-DOMAIN	REACHABLE_POLICY_DIFFERENCE;MIXED_REACHABILITY;FAILURE_SENSITIVE	CORRIDOR_BPM_BOUNDS;CORRIDOR_DENSITY;DRUM_POLICY;RHYTHM_COMPATIBILITY:MEMBERSHIP	DRUM_POLICY;RHYTHM_COMPATIBILITY:MEMBERSHIP	CORRIDOR_BPM_BOUNDS;CORRIDOR_DENSITY	NONE	ATLAS_METADATA	tonal.bass_articulation=PLAIN;tonal.melodic_motif_operation=NONE;tonal.melodic_rhythm_operation=PRESERVE	tonal.bass_articulation=PLAIN;tonal.melodic_motif_operation=NONE;tonal.melodic_rhythm_operation=PRESERVE;tonal.source=kBrokenProfile	NONE	NORMAL_GENRE_STRONG_MIGRATION_PUBLICATION	NONE	LEGACY_BEHAVIOR;LEGACY_DRUM;LEGACY_PARAMS;LEGACY_TIMBRE	ATLAS_METADATA	GF2_C2=BLOCKED;REACHABLE_ONLY_VIA_RHYTHM_AND_DRUM
