exact_base	genre_a	genre_b	classification	changed_domains	same_rhythm_weights	same_other_composition_weights	same_corridor	same_secondary_role	same_tonal_payload	same_canonical_drum_payload	same_legacy_drum_payload
0a2a6211ef00dcf2214dfd4704b6c34b424b1c9d	Acid	Outrun	STRONG_DISTINCTNESS	RHYTHM;COMPOSITION_OTHER;CORRIDOR;TONAL;LEGACY_DRUM	0	0	0	1	0	0	0
0a2a6211ef00dcf2214dfd4704b6c34b424b1c9d	Acid	Darksynth	STRONG_DISTINCTNESS	RHYTHM;COMPOSITION_OTHER;CORRIDOR;TONAL;LEGACY_DRUM	0	0	0	1	0	0	0
0a2a6211ef00dcf2214dfd4704b6c34b424b1c9d	Acid	Electro	STRONG_DISTINCTNESS	RHYTHM;COMPOSITION_OTHER;CORRIDOR;TONAL;LEGACY_DRUM	0	0	0	1	0	0	0
0a2a6211ef00dcf2214dfd4704b6c34b424b1c9d	Acid	Rave	STRONG_DISTINCTNESS	RHYTHM;COMPOSITION_OTHER;CORRIDOR;TONAL;LEGACY_DRUM	0	0	0	1	0	0	0
0a2a6211ef00dcf2214dfd4704b6c34b424b1c9d	Acid	Reggae	STRONG_DISTINCTNESS	RHYTHM;COMPOSITION_OTHER;CORRIDOR;ROLE;TONAL;LEGACY_DRUM	0	0	0	0	0	0	0
0a2a6211ef00dcf2214dfd4704b6c34b424b1c9d	Acid	TripHop	STRONG_DISTINCTNESS	RHYTHM;COMPOSITION_OTHER;CORRIDOR;ROLE;TONAL;LEGACY_DRUM	0	0	0	0	0	0	0
0a2a6211ef00dcf2214dfd4704b6c34b424b1c9d	Acid	Broken	STRONG_DISTINCTNESS	RHYTHM;COMPOSITION_OTHER;CORRIDOR;TONAL;LEGACY_DRUM	0	0	0	1	0	0	0
0a2a6211ef00dcf2214dfd4704b6c34b424b1c9d	Acid	Chip	STRONG_DISTINCTNESS	RHYTHM;COMPOSITION_OTHER;CORRIDOR;TONAL;LEGACY_DRUM	0	0	0	1	0	0	0
0a2a6211ef00dcf2214dfd4704b6c34b424b1c9d	Acid	House	STRONG_DISTINCTNESS	RHYTHM;COMPOSITION_OTHER;CORRIDOR;TONAL;LEGACY_DRUM	0	0	0	1	0	0	0
0a2a6211ef00dcf2214dfd4704b6c34b424b1c9d	Acid	Techno	PARTIAL_COLLISION	RHYTHM;CORRIDOR;TONAL;LEGACY_DRUM	0	1	0	1	0	0	0
0a2a6211ef00dcf2214dfd4704b6c34b424b1c9d	Acid	HipHop	STRONG_DISTINCTNESS	RHYTHM;COMPOSITION_OTHER;CORRIDOR;ROLE;TONAL;LEGACY_DRUM	0	0	0	0	0	0	0
0a2a6211ef00dcf2214dfd4704b6c34b424b1c9d	Acid	FunkSoul	STRONG_DISTINCTNESS	RHYTHM;COMPOSITION_OTHER;CORRIDOR;ROLE;TONAL;LEGACY_DRUM	0	0	0	0	0	0	0
0a2a6211ef00dcf2214dfd4704b6c34b424b1c9d	Acid	UkGarage	STRONG_DISTINCTNESS	RHYTHM;COMPOSITION_OTHER;CORRIDOR;TONAL;LEGACY_DRUM	0	0	0	1	0	0	0
0a2a6211ef00dcf2214dfd4704b6c34b424b1c9d	Acid	DrumAndBass	STRONG_DISTINCTNESS	RHYTHM;COMPOSITION_OTHER;CORRIDOR;TONAL;LEGACY_DRUM	0	0	0	1	0	0	0
0a2a6211ef00dcf2214dfd4704b6c34b424b1c9d	Acid	LoFi	STRONG_DISTINCTNESS	RHYTHM;COMPOSITION_OTHER;CORRIDOR;ROLE;TONAL;LEGACY_DRUM	0	0	0	0	0	0	0
0a2a6211ef00dcf2214dfd4704b6c34b424b1c9d	Outrun	Darksynth	PARTIAL_COLLISION	RHYTHM;COMPOSITION_OTHER;CORRIDOR;LEGACY_DRUM	0	0	0	1	1	0	0
0a2a6211ef00dcf2214dfd4704b6c34b424b1c9d	Outrun	Electro	STRONG_DISTINCTNESS	RHYTHM;COMPOSITION_OTHER;CORRIDOR;TONAL;LEGACY_DRUM	0	0	0	1	0	0	0
0a2a6211ef00dcf2214dfd4704b6c34b424b1c9d	Outrun	Rave	STRONG_DISTINCTNESS	RHYTHM;COMPOSITION_OTHER;CORRIDOR;TONAL;LEGACY_DRUM	0	0	0	1	0	0	0
0a2a6211ef00dcf2214dfd4704b6c34b424b1c9d	Outrun	Reggae	STRONG_DISTINCTNESS	RHYTHM;COMPOSITION_OTHER;CORRIDOR;ROLE;TONAL;LEGACY_DRUM	0	0	0	0	0	0	0
0a2a6211ef00dcf2214dfd4704b6c34b424b1c9d	Outrun	TripHop	STRONG_DISTINCTNESS	RHYTHM;COMPOSITION_OTHER;CORRIDOR;ROLE;TONAL;LEGACY_DRUM	0	0	0	0	0	0	0
0a2a6211ef00dcf2214dfd4704b6c34b424b1c9d	Outrun	Broken	STRONG_DISTINCTNESS	RHYTHM;COMPOSITION_OTHER;CORRIDOR;TONAL;LEGACY_DRUM	0	0	0	1	0	0	0
0a2a6211ef00dcf2214dfd4704b6c34b424b1c9d	Outrun	Chip	PARTIAL_COLLISION	RHYTHM;COMPOSITION_OTHER;CORRIDOR;LEGACY_DRUM	0	0	0	1	1	0	0
0a2a6211ef00dcf2214dfd4704b6c34b424b1c9d	Outrun	House	STRONG_DISTINCTNESS	RHYTHM;COMPOSITION_OTHER;CORRIDOR;TONAL;LEGACY_DRUM	0	0	0	1	0	0	0
0a2a6211ef00dcf2214dfd4704b6c34b424b1c9d	Outrun	Techno	STRONG_DISTINCTNESS	RHYTHM;COMPOSITION_OTHER;CORRIDOR;TONAL;LEGACY_DRUM	0	0	0	1	0	0	0
0a2a6211ef00dcf2214dfd4704b6c34b424b1c9d	Outrun	HipHop	STRONG_DISTINCTNESS	RHYTHM;COMPOSITION_OTHER;CORRIDOR;ROLE;TONAL;LEGACY_DRUM	0	0	0	0	0	0	0
0a2a6211ef00dcf2214dfd4704b6c34b424b1c9d	Outrun	FunkSoul	STRONG_DISTINCTNESS	RHYTHM;COMPOSITION_OTHER;CORRIDOR;ROLE;TONAL;LEGACY_DRUM	0	0	0	0	0	0	0
0a2a6211ef00dcf2214dfd4704b6c34b424b1c9d	Outrun	UkGarage	STRONG_DISTINCTNESS	RHYTHM;COMPOSITION_OTHER;CORRIDOR;TONAL;LEGACY_DRUM	0	0	0	1	0	0	0
0a2a6211ef00dcf2214dfd4704b6c34b424b1c9d	Outrun	DrumAndBass	STRONG_DISTINCTNESS	RHYTHM;COMPOSITION_OTHER;CORRIDOR;TONAL;LEGACY_DRUM	0	0	0	1	0	0	0
0a2a6211ef00dcf2214dfd4704b6c34b424b1c9d	Outrun	LoFi	STRONG_DISTINCTNESS	RHYTHM;COMPOSITION_OTHER;CORRIDOR;ROLE;TONAL;LEGACY_DRUM	0	0	0	0	0	0	0
0a2a6211ef00dcf2214dfd4704b6c34b424b1c9d	Darksynth	Electro	STRONG_DISTINCTNESS	RHYTHM;COMPOSITION_OTHER;CORRIDOR;TONAL;LEGACY_DRUM	0	0	0	1	0	0	0
0a2a6211ef00dcf2214dfd4704b6c34b424b1c9d	Darksynth	Rave	STRONG_DISTINCTNESS	RHYTHM;COMPOSITION_OTHER;CORRIDOR;TONAL;LEGACY_DRUM	0	0	0	1	0	0	0
0a2a6211ef00dcf2214dfd4704b6c34b424b1c9d	Darksynth	Reggae	STRONG_DISTINCTNESS	RHYTHM;COMPOSITION_OTHER;CORRIDOR;ROLE;TONAL;LEGACY_DRUM	0	0	0	0	0	0	0
0a2a6211ef00dcf2214dfd4704b6c34b424b1c9d	Darksynth	TripHop	STRONG_DISTINCTNESS	RHYTHM;COMPOSITION_OTHER;CORRIDOR;ROLE;TONAL;LEGACY_DRUM	0	0	0	0	0	0	0
0a2a6211ef00dcf2214dfd4704b6c34b424b1c9d	Darksynth	Broken	STRONG_DISTINCTNESS	RHYTHM;COMPOSITION_OTHER;CORRIDOR;TONAL;LEGACY_DRUM	0	0	0	1	0	0	0
0a2a6211ef00dcf2214dfd4704b6c34b424b1c9d	Darksynth	Chip	PARTIAL_COLLISION	RHYTHM;COMPOSITION_OTHER;CORRIDOR;LEGACY_DRUM	0	0	0	1	1	0	0
0a2a6211ef00dcf2214dfd4704b6c34b424b1c9d	Darksynth	House	STRONG_DISTINCTNESS	RHYTHM;COMPOSITION_OTHER;CORRIDOR;TONAL;LEGACY_DRUM	0	0	0	1	0	0	0
0a2a6211ef00dcf2214dfd4704b6c34b424b1c9d	Darksynth	Techno	STRONG_DISTINCTNESS	RHYTHM;COMPOSITION_OTHER;CORRIDOR;TONAL;LEGACY_DRUM	0	0	0	1	0	0	0
0a2a6211ef00dcf2214dfd4704b6c34b424b1c9d	Darksynth	HipHop	STRONG_DISTINCTNESS	RHYTHM;COMPOSITION_OTHER;CORRIDOR;ROLE;TONAL;LEGACY_DRUM	0	0	0	0	0	0	0
0a2a6211ef00dcf2214dfd4704b6c34b424b1c9d	Darksynth	FunkSoul	STRONG_DISTINCTNESS	RHYTHM;COMPOSITION_OTHER;CORRIDOR;ROLE;TONAL;LEGACY_DRUM	0	0	0	0	0	0	0
0a2a6211ef00dcf2214dfd4704b6c34b424b1c9d	Darksynth	UkGarage	STRONG_DISTINCTNESS	RHYTHM;COMPOSITION_OTHER;CORRIDOR;TONAL;LEGACY_DRUM	0	0	0	1	0	0	0
0a2a6211ef00dcf2214dfd4704b6c34b424b1c9d	Darksynth	DrumAndBass	STRONG_DISTINCTNESS	RHYTHM;COMPOSITION_OTHER;CORRIDOR;TONAL;LEGACY_DRUM	0	0	0	1	0	0	0
0a2a6211ef00dcf2214dfd4704b6c34b424b1c9d	Darksynth	LoFi	STRONG_DISTINCTNESS	RHYTHM;COMPOSITION_OTHER;CORRIDOR;ROLE;TONAL;LEGACY_DRUM	0	0	0	0	0	0	0
0a2a6211ef00dcf2214dfd4704b6c34b424b1c9d	Electro	Rave	STRONG_DISTINCTNESS	RHYTHM;COMPOSITION_OTHER;CORRIDOR;TONAL;LEGACY_DRUM	0	0	0	1	0	0	0
0a2a6211ef00dcf2214dfd4704b6c34b424b1c9d	Electro	Reggae	STRONG_DISTINCTNESS	RHYTHM;COMPOSITION_OTHER;CORRIDOR;ROLE;TONAL;LEGACY_DRUM	0	0	0	0	0	0	0
0a2a6211ef00dcf2214dfd4704b6c34b424b1c9d	Electro	TripHop	STRONG_DISTINCTNESS	RHYTHM;COMPOSITION_OTHER;CORRIDOR;ROLE;TONAL;LEGACY_DRUM	0	0	0	0	0	0	0
0a2a6211ef00dcf2214dfd4704b6c34b424b1c9d	Electro	Broken	PARTIAL_COLLISION	RHYTHM;CORRIDOR;LEGACY_DRUM	0	1	0	1	1	0	0
0a2a6211ef00dcf2214dfd4704b6c34b424b1c9d	Electro	Chip	STRONG_DISTINCTNESS	RHYTHM;COMPOSITION_OTHER;CORRIDOR;TONAL;LEGACY_DRUM	0	0	0	1	0	0	0
0a2a6211ef00dcf2214dfd4704b6c34b424b1c9d	Electro	House	STRONG_DISTINCTNESS	RHYTHM;COMPOSITION_OTHER;CORRIDOR;TONAL;LEGACY_DRUM	0	0	0	1	0	0	0
0a2a6211ef00dcf2214dfd4704b6c34b424b1c9d	Electro	Techno	STRONG_DISTINCTNESS	RHYTHM;COMPOSITION_OTHER;CORRIDOR;TONAL;LEGACY_DRUM	0	0	0	1	0	0	0
0a2a6211ef00dcf2214dfd4704b6c34b424b1c9d	Electro	HipHop	STRONG_DISTINCTNESS	RHYTHM;COMPOSITION_OTHER;CORRIDOR;ROLE;TONAL;LEGACY_DRUM	0	0	0	0	0	0	0
0a2a6211ef00dcf2214dfd4704b6c34b424b1c9d	Electro	FunkSoul	STRONG_DISTINCTNESS	RHYTHM;COMPOSITION_OTHER;CORRIDOR;ROLE;TONAL;LEGACY_DRUM	0	0	0	0	0	0	0
0a2a6211ef00dcf2214dfd4704b6c34b424b1c9d	Electro	UkGarage	PARTIAL_COLLISION	RHYTHM;CORRIDOR;LEGACY_DRUM	0	1	0	1	1	0	0
0a2a6211ef00dcf2214dfd4704b6c34b424b1c9d	Electro	DrumAndBass	PARTIAL_COLLISION	RHYTHM;COMPOSITION_OTHER;CORRIDOR;LEGACY_DRUM	0	0	0	1	1	0	0
0a2a6211ef00dcf2214dfd4704b6c34b424b1c9d	Electro	LoFi	STRONG_DISTINCTNESS	RHYTHM;COMPOSITION_OTHER;CORRIDOR;ROLE;TONAL;LEGACY_DRUM	0	0	0	0	0	0	0
0a2a6211ef00dcf2214dfd4704b6c34b424b1c9d	Rave	Reggae	STRONG_DISTINCTNESS	RHYTHM;COMPOSITION_OTHER;CORRIDOR;ROLE;TONAL;LEGACY_DRUM	0	0	0	0	0	0	0
0a2a6211ef00dcf2214dfd4704b6c34b424b1c9d	Rave	TripHop	STRONG_DISTINCTNESS	RHYTHM;COMPOSITION_OTHER;CORRIDOR;ROLE;TONAL;LEGACY_DRUM	0	0	0	0	0	0	0
0a2a6211ef00dcf2214dfd4704b6c34b424b1c9d	Rave	Broken	STRONG_DISTINCTNESS	RHYTHM;COMPOSITION_OTHER;CORRIDOR;TONAL;LEGACY_DRUM	0	0	0	1	0	0	0
0a2a6211ef00dcf2214dfd4704b6c34b424b1c9d	Rave	Chip	STRONG_DISTINCTNESS	RHYTHM;COMPOSITION_OTHER;CORRIDOR;TONAL;LEGACY_DRUM	0	0	0	1	0	0	0
0a2a6211ef00dcf2214dfd4704b6c34b424b1c9d	Rave	House	PARTIAL_COLLISION	RHYTHM;COMPOSITION_OTHER;CORRIDOR;LEGACY_DRUM	0	0	0	1	1	0	0
0a2a6211ef00dcf2214dfd4704b6c34b424b1c9d	Rave	Techno	PARTIAL_COLLISION	RHYTHM;COMPOSITION_OTHER;CORRIDOR;LEGACY_DRUM	0	0	0	1	1	0	0
0a2a6211ef00dcf2214dfd4704b6c34b424b1c9d	Rave	HipHop	STRONG_DISTINCTNESS	RHYTHM;COMPOSITION_OTHER;CORRIDOR;ROLE;TONAL;LEGACY_DRUM	0	0	0	0	0	0	0
0a2a6211ef00dcf2214dfd4704b6c34b424b1c9d	Rave	FunkSoul	STRONG_DISTINCTNESS	RHYTHM;COMPOSITION_OTHER;CORRIDOR;ROLE;TONAL;LEGACY_DRUM	0	0	0	0	0	0	0
0a2a6211ef00dcf2214dfd4704b6c34b424b1c9d	Rave	UkGarage	STRONG_DISTINCTNESS	RHYTHM;COMPOSITION_OTHER;CORRIDOR;TONAL;LEGACY_DRUM	0	0	0	1	0	0	0
0a2a6211ef00dcf2214dfd4704b6c34b424b1c9d	Rave	DrumAndBass	STRONG_DISTINCTNESS	RHYTHM;COMPOSITION_OTHER;CORRIDOR;TONAL;LEGACY_DRUM	0	0	0	1	0	0	0
0a2a6211ef00dcf2214dfd4704b6c34b424b1c9d	Rave	LoFi	STRONG_DISTINCTNESS	RHYTHM;COMPOSITION_OTHER;CORRIDOR;ROLE;TONAL;LEGACY_DRUM	0	0	0	0	0	0	0
0a2a6211ef00dcf2214dfd4704b6c34b424b1c9d	Reggae	TripHop	STRONG_DISTINCTNESS	RHYTHM;COMPOSITION_OTHER;CORRIDOR;TONAL;LEGACY_DRUM	0	0	0	1	0	0	0
0a2a6211ef00dcf2214dfd4704b6c34b424b1c9d	Reggae	Broken	STRONG_DISTINCTNESS	RHYTHM;COMPOSITION_OTHER;CORRIDOR;ROLE;TONAL;LEGACY_DRUM	0	0	0	0	0	0	0
0a2a6211ef00dcf2214dfd4704b6c34b424b1c9d	Reggae	Chip	STRONG_DISTINCTNESS	RHYTHM;COMPOSITION_OTHER;CORRIDOR;ROLE;TONAL;LEGACY_DRUM	0	0	0	0	0	0	0
0a2a6211ef00dcf2214dfd4704b6c34b424b1c9d	Reggae	House	STRONG_DISTINCTNESS	RHYTHM;COMPOSITION_OTHER;CORRIDOR;ROLE;TONAL;LEGACY_DRUM	0	0	0	0	0	0	0
0a2a6211ef00dcf2214dfd4704b6c34b424b1c9d	Reggae	Techno	STRONG_DISTINCTNESS	RHYTHM;COMPOSITION_OTHER;CORRIDOR;ROLE;TONAL;LEGACY_DRUM	0	0	0	0	0	0	0
0a2a6211ef00dcf2214dfd4704b6c34b424b1c9d	Reggae	HipHop	STRONG_DISTINCTNESS	RHYTHM;COMPOSITION_OTHER;CORRIDOR;ROLE;TONAL;LEGACY_DRUM	0	0	0	0	0	0	0
0a2a6211ef00dcf2214dfd4704b6c34b424b1c9d	Reggae	FunkSoul	STRONG_DISTINCTNESS	RHYTHM;COMPOSITION_OTHER;CORRIDOR;ROLE;TONAL;LEGACY_DRUM	0	0	0	0	0	0	0
0a2a6211ef00dcf2214dfd4704b6c34b424b1c9d	Reggae	UkGarage	STRONG_DISTINCTNESS	RHYTHM;COMPOSITION_OTHER;CORRIDOR;ROLE;TONAL;LEGACY_DRUM	0	0	0	0	0	0	0
0a2a6211ef00dcf2214dfd4704b6c34b424b1c9d	Reggae	DrumAndBass	STRONG_DISTINCTNESS	RHYTHM;COMPOSITION_OTHER;CORRIDOR;ROLE;TONAL;LEGACY_DRUM	0	0	0	0	0	0	0
0a2a6211ef00dcf2214dfd4704b6c34b424b1c9d	Reggae	LoFi	STRONG_DISTINCTNESS	RHYTHM;COMPOSITION_OTHER;CORRIDOR;ROLE;TONAL;LEGACY_DRUM	0	0	0	0	0	0	0
0a2a6211ef00dcf2214dfd4704b6c34b424b1c9d	TripHop	Broken	STRONG_DISTINCTNESS	RHYTHM;COMPOSITION_OTHER;CORRIDOR;ROLE;TONAL;LEGACY_DRUM	0	0	0	0	0	0	0
0a2a6211ef00dcf2214dfd4704b6c34b424b1c9d	TripHop	Chip	STRONG_DISTINCTNESS	RHYTHM;COMPOSITION_OTHER;CORRIDOR;ROLE;TONAL;LEGACY_DRUM	0	0	0	0	0	0	0
0a2a6211ef00dcf2214dfd4704b6c34b424b1c9d	TripHop	House	STRONG_DISTINCTNESS	RHYTHM;COMPOSITION_OTHER;CORRIDOR;ROLE;TONAL;LEGACY_DRUM	0	0	0	0	0	0	0
0a2a6211ef00dcf2214dfd4704b6c34b424b1c9d	TripHop	Techno	STRONG_DISTINCTNESS	RHYTHM;COMPOSITION_OTHER;CORRIDOR;ROLE;TONAL;LEGACY_DRUM	0	0	0	0	0	0	0
0a2a6211ef00dcf2214dfd4704b6c34b424b1c9d	TripHop	HipHop	PARTIAL_COLLISION	RHYTHM;COMPOSITION_OTHER;CORRIDOR;ROLE;LEGACY_DRUM	0	0	0	0	1	0	0
0a2a6211ef00dcf2214dfd4704b6c34b424b1c9d	TripHop	FunkSoul	PARTIAL_COLLISION	RHYTHM;COMPOSITION_OTHER;CORRIDOR;ROLE;LEGACY_DRUM	0	0	0	0	1	0	0
0a2a6211ef00dcf2214dfd4704b6c34b424b1c9d	TripHop	UkGarage	STRONG_DISTINCTNESS	RHYTHM;COMPOSITION_OTHER;CORRIDOR;ROLE;TONAL;LEGACY_DRUM	0	0	0	0	0	0	0
0a2a6211ef00dcf2214dfd4704b6c34b424b1c9d	TripHop	DrumAndBass	STRONG_DISTINCTNESS	RHYTHM;COMPOSITION_OTHER;CORRIDOR;ROLE;TONAL;LEGACY_DRUM	0	0	0	0	0	0	0
0a2a6211ef00dcf2214dfd4704b6c34b424b1c9d	TripHop	LoFi	PARTIAL_COLLISION	RHYTHM;COMPOSITION_OTHER;CORRIDOR;ROLE;LEGACY_DRUM	0	0	0	0	1	0	0
0a2a6211ef00dcf2214dfd4704b6c34b424b1c9d	Broken	Chip	STRONG_DISTINCTNESS	RHYTHM;COMPOSITION_OTHER;CORRIDOR;TONAL;LEGACY_DRUM	0	0	0	1	0	0	0
0a2a6211ef00dcf2214dfd4704b6c34b424b1c9d	Broken	House	STRONG_DISTINCTNESS	RHYTHM;COMPOSITION_OTHER;CORRIDOR;TONAL;LEGACY_DRUM	0	0	0	1	0	0	0
0a2a6211ef00dcf2214dfd4704b6c34b424b1c9d	Broken	Techno	STRONG_DISTINCTNESS	RHYTHM;COMPOSITION_OTHER;CORRIDOR;TONAL;LEGACY_DRUM	0	0	0	1	0	0	0
0a2a6211ef00dcf2214dfd4704b6c34b424b1c9d	Broken	HipHop	STRONG_DISTINCTNESS	RHYTHM;COMPOSITION_OTHER;CORRIDOR;ROLE;TONAL;LEGACY_DRUM	0	0	0	0	0	0	0
0a2a6211ef00dcf2214dfd4704b6c34b424b1c9d	Broken	FunkSoul	STRONG_DISTINCTNESS	RHYTHM;COMPOSITION_OTHER;CORRIDOR;ROLE;TONAL;LEGACY_DRUM	0	0	0	0	0	0	0
0a2a6211ef00dcf2214dfd4704b6c34b424b1c9d	Broken	UkGarage	PARTIAL_COLLISION	RHYTHM;CORRIDOR;LEGACY_DRUM	0	1	0	1	1	0	0
0a2a6211ef00dcf2214dfd4704b6c34b424b1c9d	Broken	DrumAndBass	PARTIAL_COLLISION	RHYTHM;COMPOSITION_OTHER;CORRIDOR;LEGACY_DRUM	0	0	0	1	1	0	0
0a2a6211ef00dcf2214dfd4704b6c34b424b1c9d	Broken	LoFi	STRONG_DISTINCTNESS	RHYTHM;COMPOSITION_OTHER;CORRIDOR;ROLE;TONAL;LEGACY_DRUM	0	0	0	0	0	0	0
0a2a6211ef00dcf2214dfd4704b6c34b424b1c9d	Chip	House	STRONG_DISTINCTNESS	RHYTHM;COMPOSITION_OTHER;CORRIDOR;TONAL;LEGACY_DRUM	0	0	0	1	0	0	0
0a2a6211ef00dcf2214dfd4704b6c34b424b1c9d	Chip	Techno	STRONG_DISTINCTNESS	RHYTHM;COMPOSITION_OTHER;CORRIDOR;TONAL;LEGACY_DRUM	0	0	0	1	0	0	0
0a2a6211ef00dcf2214dfd4704b6c34b424b1c9d	Chip	HipHop	STRONG_DISTINCTNESS	RHYTHM;COMPOSITION_OTHER;CORRIDOR;ROLE;TONAL;LEGACY_DRUM	0	0	0	0	0	0	0
0a2a6211ef00dcf2214dfd4704b6c34b424b1c9d	Chip	FunkSoul	STRONG_DISTINCTNESS	RHYTHM;COMPOSITION_OTHER;CORRIDOR;ROLE;TONAL;LEGACY_DRUM	0	0	0	0	0	0	0
