archetype_id	archetype_key	name	family	bpm_min	bpm_max	semantic_payload	drum_payload	semantic_payload_fingerprint	drum_payload_fingerprint
401	0	straight_drive	0	122	136	family=0|suggestedBpmMin=122|suggestedBpmMax=136|allowedPhraseBars=1|activeRoles=0x003f|lanes=0:0x0000:0x8888:0x0000:0x0000:0x0000:0x0000:0x0000:0x0000:4:4:1:0:0,1:0x0000:0x0808:0x0000:0x0000:0x0000:0x0000:0x0000:0x0000:2:2:1:0:0,2:0x0000:0x2020:0x0202:0x0000:0x0000:0x0000:0x0000:0x0000:2:4:1:0:0,3:0x0000:0x0000:0x0000:0x0202:0x0000:0x0000:0x0000:0x0000:0:2:1:0:0,4:0x0000:0x0000:0x0000:0x1111:0x0000:0x0000:0x0000:0x0000:0:2:1:0:0,5:0x0000:0x8080:0x0808:0x2020:0x0000:0x0000:0x8080:0x0000:2:4:1:0:0|protected=|relationships=0:4:4:0:0:0xffff:0:0:0:0:0:0:35,0:5:1:1:0:0xffff:0:0:2:4:0:0:0|transforms=|trajectories=1:100:7|timing=0:0x0000:0x0000|density=10:12:18:4|mutation=0:0:0:0:0:0:0:0,2:0:0:0:4:0:0:0,3:0:0:0:1:0:0:0	family=0|suggestedBpmMin=122|suggestedBpmMax=136|allowedPhraseBars=1|activeRoles=0x001f|lanes=0:0x0000:0x8888:0x0000:0x0000:0x0000:0x0000:0x0000:0x0000:4:4:1:0:0,1:0x0000:0x0808:0x0000:0x0000:0x0000:0x0000:0x0000:0x0000:2:2:1:0:0,2:0x0000:0x2020:0x0202:0x0000:0x0000:0x0000:0x0000:0x0000:2:4:1:0:0,3:0x0000:0x0000:0x0000:0x0202:0x0000:0x0000:0x0000:0x0000:0:2:1:0:0,4:0x0000:0x0000:0x0000:0x1111:0x0000:0x0000:0x0000:0x0000:0:2:1:0:0|protected=|relationships=0:4:4:0:0:0xffff:0:0:0:0:0:0:35,0:5:1:1:0:0xffff:0:0:2:4:0:0:0|transforms=|trajectories=1:100:7|timing=0:0x0000:0x0000|density=10:12:18:4|mutation=0:0:0:0:0:0:0:0,2:0:0:0:4:0:0:0,3:0:0:0:1:0:0:0	31d34de4b20329d17b4fa9e4bfaacf45cf359ea252aaab6f4bf120b2099a97db	58ead95419354e0b8d933f05d1c920d3e3a24dd9c8a90aa88d0a3c6dd5175726
402	1	offbeat_open_hat	0	120	134	family=0|suggestedBpmMin=120|suggestedBpmMax=134|allowedPhraseBars=1|activeRoles=0x003f|lanes=0:0x0000:0x8888:0x0000:0x0000:0x0000:0x0000:0x0000:0x0000:4:4:1:0:0,1:0x0000:0x0808:0x0000:0x0000:0x0000:0x0000:0x0000:0x0000:2:2:1:0:0,2:0x0000:0x8080:0x0808:0x0000:0x0000:0x0000:0x0000:0x0000:2:4:1:0:0,3:0x0000:0x2222:0x0000:0x0000:0x0000:0x0000:0x0000:0x0000:4:4:1:0:0,4:0x0000:0x0000:0x0000:0x1010:0x0000:0x0000:0x0000:0x0000:0:2:1:0:0,5:0x0000:0x8080:0x0808:0x0202:0x0000:0x0000:0x8080:0x0000:2:4:1:0:0|protected=|relationships=0:3:4:0:0:0xffff:0:0:0:0:0:0:80,0:5:1:1:0:0xffff:0:0:2:4:0:0:0|transforms=|trajectories=1:100:7|timing=0:0x0000:0x0000|density=14:16:20:3|mutation=0:0:0:0:0:0:0:0,2:0:0:0:4:0:0:0,3:0:0:0:1:0:0:0	family=0|suggestedBpmMin=120|suggestedBpmMax=134|allowedPhraseBars=1|activeRoles=0x001f|lanes=0:0x0000:0x8888:0x0000:0x0000:0x0000:0x0000:0x0000:0x0000:4:4:1:0:0,1:0x0000:0x0808:0x0000:0x0000:0x0000:0x0000:0x0000:0x0000:2:2:1:0:0,2:0x0000:0x8080:0x0808:0x0000:0x0000:0x0000:0x0000:0x0000:2:4:1:0:0,3:0x0000:0x2222:0x0000:0x0000:0x0000:0x0000:0x0000:0x0000:4:4:1:0:0,4:0x0000:0x0000:0x0000:0x1010:0x0000:0x0000:0x0000:0x0000:0:2:1:0:0|protected=|relationships=0:3:4:0:0:0xffff:0:0:0:0:0:0:80,0:5:1:1:0:0xffff:0:0:2:4:0:0:0|transforms=|trajectories=1:100:7|timing=0:0x0000:0x0000|density=14:16:20:3|mutation=0:0:0:0:0:0:0:0,2:0:0:0:4:0:0:0,3:0:0:0:1:0:0:0	34353ec8dd93dae24686b19a3e751cc552764199cbb7edf25fc9a36e478a53ed	5bbd9dd2451f931c2e2dda79ee09d3f3da2aeb7784b6547a44e3f97b40b550c6
403	2	hypnotic_sparse	0	124	140	family=0|suggestedBpmMin=124|suggestedBpmMax=140|allowedPhraseBars=1|activeRoles=0x003f|lanes=0:0x0000:0x8888:0x0000:0x0000:0x0000:0x0000:0x0000:0x0000:4:4:1:0:0,1:0x0000:0x0008:0x0800:0x0000:0x0000:0x0000:0x0000:0x0000:1:2:1:0:0,2:0x0000:0x2020:0x0202:0x0000:0x0000:0x0000:0x0000:0x0000:2:4:1:0:0,3:0x0000:0x0000:0x0000:0x0202:0x0000:0x0000:0x0000:0x0000:0:1:1:0:0,4:0x0000:0x0000:0x0000:0x0101:0x0000:0x0000:0x0000:0x0000:0:1:1:0:0,5:0x0000:0x8000:0x0080:0x0202:0x0000:0x0000:0x8080:0x0000:1:3:1:0:0|protected=|relationships=0:5:3:0:0:0xffff:0:2:0:0:0:0:65,2:4:4:0:0:0xffff:0:0:0:0:0:0:30|transforms=|trajectories=1:100:7|timing=1:0x1111:0x003c|density=10:11:16:3|mutation=0:0:0:0:0:0:0:0,2:0:0:0:4:0:0:0,3:0:0:0:1:0:0:0	family=0|suggestedBpmMin=124|suggestedBpmMax=140|allowedPhraseBars=1|activeRoles=0x001f|lanes=0:0x0000:0x8888:0x0000:0x0000:0x0000:0x0000:0x0000:0x0000:4:4:1:0:0,1:0x0000:0x0008:0x0800:0x0000:0x0000:0x0000:0x0000:0x0000:1:2:1:0:0,2:0x0000:0x2020:0x0202:0x0000:0x0000:0x0000:0x0000:0x0000:2:4:1:0:0,3:0x0000:0x0000:0x0000:0x0202:0x0000:0x0000:0x0000:0x0000:0:1:1:0:0,4:0x0000:0x0000:0x0000:0x0101:0x0000:0x0000:0x0000:0x0000:0:1:1:0:0|protected=|relationships=0:5:3:0:0:0xffff:0:2:0:0:0:0:65,2:4:4:0:0:0xffff:0:0:0:0:0:0:30|transforms=|trajectories=1:100:7|timing=1:0x1111:0x001c|density=10:11:16:3|mutation=0:0:0:0:0:0:0:0,2:0:0:0:4:0:0:0,3:0:0:0:1:0:0:0	418a86743ebf5827e4fe3d2261e7446fd7370042463c4789c1340362bc3f66e7	335cdf9baf4614637fcbba7a72e9078100e8e9c10d2cebf93c063e05a086a1be
404	3	broken_techno	1	124	142	family=1|suggestedBpmMin=124|suggestedBpmMax=142|allowedPhraseBars=1|activeRoles=0x003f|lanes=0:0x0000:0x8020:0x0200:0x0002:0x0000:0x0000:0x0000:0x0000:2:4:1:0:0,1:0x0000:0x0808:0x0000:0x0000:0x0000:0x0000:0x0000:0x0000:2:2:1:0:0,2:0x0000:0x2020:0x0202:0x1010:0x0000:0x0000:0x0000:0x0000:2:5:1:0:0,3:0x0000:0x0000:0x0202:0x0000:0x0000:0x0000:0x0000:0x0000:0:2:1:0:0,4:0x0000:0x1000:0x0101:0x4040:0x0000:0x0000:0x0000:0x0000:1:4:1:0:0,5:0x0000:0x8020:0x0202:0x1000:0x0000:0x0020:0x0000:0x0000:2:4:1:0:0|protected=0x0808:0x0021|relationships=0:4:3:0:0:0xffff:1:2:0:0:0:0:65,1:0:0:1:0:0xffff:0:0:0:0:0:0:0|transforms=|trajectories=1:100:7|timing=0:0x0000:0x0000|density=10:13:23:6|mutation=0:0:0:0:0:0:0:0,2:0:0:0:4:0:0:0,3:0:0:0:1:0:0:0	family=1|suggestedBpmMin=124|suggestedBpmMax=142|allowedPhraseBars=1|activeRoles=0x001f|lanes=0:0x0000:0x8020:0x0200:0x0002:0x0000:0x0000:0x0000:0x0000:2:4:1:0:0,1:0x0000:0x0808:0x0000:0x0000:0x0000:0x0000:0x0000:0x0000:2:2:1:0:0,2:0x0000:0x2020:0x0202:0x1010:0x0000:0x0000:0x0000:0x0000:2:5:1:0:0,3:0x0000:0x0000:0x0202:0x0000:0x0000:0x0000:0x0000:0x0000:0:2:1:0:0,4:0x0000:0x1000:0x0101:0x4040:0x0000:0x0000:0x0000:0x0000:1:4:1:0:0|protected=0x0808:0x0001|relationships=0:4:3:0:0:0xffff:1:2:0:0:0:0:65,1:0:0:1:0:0xffff:0:0:0:0:0:0:0|transforms=|trajectories=1:100:7|timing=0:0x0000:0x0000|density=10:13:23:6|mutation=0:0:0:0:0:0:0:0,2:0:0:0:4:0:0:0,3:0:0:0:1:0:0:0	bb0f5e19dad5b34e209f4e236ee72da4d893e062506131e16618dcd6852fe7ea	d42d35fce341aba5076df8c721b3daae173c7aed9a2042481061f28ee497dedc
405	4	straight_acid	0	120	134	family=0|suggestedBpmMin=120|suggestedBpmMax=134|allowedPhraseBars=1|activeRoles=0x003f|lanes=0:0x0000:0x8888:0x0000:0x0000:0x0000:0x0000:0x0000:0x0000:4:4:1:0:0,1:0x0000:0x0808:0x0000:0x0000:0x0000:0x0000:0x0000:0x0000:2:2:1:0:0,2:0x0000:0x2222:0x0000:0x0000:0x0000:0x0000:0x0000:0x0000:4:4:1:0:0,3:0x0000:0x0000:0x0000:0x1010:0x0000:0x0000:0x0000:0x0000:0:2:1:0:0,4:0x0000:0x0000:0x0000:0x0101:0x0000:0x0000:0x0000:0x0000:0:2:1:0:0,5:0x0000:0x8888:0x1010:0x0101:0x0000:0x1010:0x8080:0x0000:5:8:2:0:0|protected=|relationships=0:2:2:1:0:0xffff:2:2:0:0:0:0:0,0:5:3:0:0:0xffff:0:3:0:0:0:0:80|transforms=|trajectories=1:100:7|timing=1:0x1111:0x003c|density=14:15:24:5|mutation=0:0:0:0:0:0:0:0,2:0:0:0:4:0:0:0,3:0:0:0:1:0:0:0	family=0|suggestedBpmMin=120|suggestedBpmMax=134|allowedPhraseBars=1|activeRoles=0x001f|lanes=0:0x0000:0x8888:0x0000:0x0000:0x0000:0x0000:0x0000:0x0000:4:4:1:0:0,1:0x0000:0x0808:0x0000:0x0000:0x0000:0x0000:0x0000:0x0000:2:2:1:0:0,2:0x0000:0x2222:0x0000:0x0000:0x0000:0x0000:0x0000:0x0000:4:4:1:0:0,3:0x0000:0x0000:0x0000:0x1010:0x0000:0x0000:0x0000:0x0000:0:2:1:0:0,4:0x0000:0x0000:0x0000:0x0101:0x0000:0x0000:0x0000:0x0000:0:2:1:0:0|protected=|relationships=0:2:2:1:0:0xffff:2:2:0:0:0:0:0,0:5:3:0:0:0xffff:0:3:0:0:0:0:80|transforms=|trajectories=1:100:7|timing=1:0x1111:0x001c|density=14:15:24:5|mutation=0:0:0:0:0:0:0:0,2:0:0:0:4:0:0:0,3:0:0:0:1:0:0:0	4978133cb58bef2a3f9f2391b2bde2143e2e3cc4aba44e2dd455db3f8042a5f1	8472e7ee9e0758787d6f9d1c7d968dbc09a3dfa939353a6809c6e89b21f428a9
406	5	rolling_acid	0	122	138	family=0|suggestedBpmMin=122|suggestedBpmMax=138|allowedPhraseBars=1|activeRoles=0x003f|lanes=0:0x0000:0x8888:0x0000:0x0000:0x0000:0x0000:0x0000:0x0000:4:4:1:0:0,1:0x0000:0x0808:0x0000:0x0000:0x0000:0x0000:0x0000:0x0000:2:2:1:0:0,2:0x0000:0x2020:0x0202:0x0000:0x0000:0x0000:0x0000:0x0000:2:4:1:0:0,3:0x0000:0x0000:0x0000:0x1010:0x0000:0x0000:0x0000:0x0000:0:2:1:0:0,4:0x0000:0x0000:0x0000:0x0101:0x0000:0x0000:0x0000:0x0000:0:2:1:0:0,5:0x0000:0x8080:0x1515:0x4040:0x0000:0x1010:0x8080:0x0000:2:10:2:0:0|protected=|relationships=0:2:2:1:0:0xffff:2:2:0:0:0:0:0,0:5:3:0:0:0xffff:1:3:0:0:0:0:80|transforms=|trajectories=1:100:7|timing=1:0x1111:0x003c|density=10:14:24:6|mutation=0:0:0:0:0:0:0:0,2:0:0:0:4:0:0:0,3:0:0:0:1:0:0:0	family=0|suggestedBpmMin=122|suggestedBpmMax=138|allowedPhraseBars=1|activeRoles=0x001f|lanes=0:0x0000:0x8888:0x0000:0x0000:0x0000:0x0000:0x0000:0x0000:4:4:1:0:0,1:0x0000:0x0808:0x0000:0x0000:0x0000:0x0000:0x0000:0x0000:2:2:1:0:0,2:0x0000:0x2020:0x0202:0x0000:0x0000:0x0000:0x0000:0x0000:2:4:1:0:0,3:0x0000:0x0000:0x0000:0x1010:0x0000:0x0000:0x0000:0x0000:0:2:1:0:0,4:0x0000:0x0000:0x0000:0x0101:0x0000:0x0000:0x0000:0x0000:0:2:1:0:0|protected=|relationships=0:2:2:1:0:0xffff:2:2:0:0:0:0:0,0:5:3:0:0:0xffff:1:3:0:0:0:0:80|transforms=|trajectories=1:100:7|timing=1:0x1111:0x001c|density=10:14:24:6|mutation=0:0:0:0:0:0:0:0,2:0:0:0:4:0:0:0,3:0:0:0:1:0:0:0	78f9ca3163865e3a0e497cffd5fa9d5e7fe63812fc42f535a86c857f5ef33aa8	d066bb41ef7e41bf04bc9bbb4532c8002c7f43d54418583754fcc3c0bdb78977
407	6	syncopated_acid	1	122	140	family=1|suggestedBpmMin=122|suggestedBpmMax=140|allowedPhraseBars=1|activeRoles=0x003f|lanes=0:0x0000:0x8080:0x0020:0x0202:0x0000:0x0000:0x0000:0x0000:2:4:1:0:0,1:0x0000:0x0808:0x0000:0x0000:0x0000:0x0000:0x0000:0x0000:2:2:1:0:0,2:0x0000:0x2222:0x0000:0x1010:0x0000:0x0000:0x0000:0x0000:4:6:1:0:0,3:0x0000:0x0000:0x0000:0x0101:0x0000:0x0000:0x0000:0x0000:0:2:1:0:0,4:0x0000:0x0000:0x0100:0x1001:0x0000:0x0000:0x0000:0x0000:0:3:1:0:0,5:0x0000:0x9020:0x0504:0x4041:0x0000:0x1004:0x8000:0x0000:3:8:2:0:0|protected=0x0808:0x0001|relationships=0:5:3:0:0:0xffff:1:3:0:0:0:0:85,1:0:0:1:0:0xffff:0:0:0:0:0:0:0|transforms=|trajectories=1:100:7|timing=1:0x1111:0x003c|density=11:15:27:7|mutation=0:0:0:0:0:0:0:0,2:0:0:0:4:0:0:0,3:0:0:0:1:0:0:0	family=1|suggestedBpmMin=122|suggestedBpmMax=140|allowedPhraseBars=1|activeRoles=0x001f|lanes=0:0x0000:0x8080:0x0020:0x0202:0x0000:0x0000:0x0000:0x0000:2:4:1:0:0,1:0x0000:0x0808:0x0000:0x0000:0x0000:0x0000:0x0000:0x0000:2:2:1:0:0,2:0x0000:0x2222:0x0000:0x1010:0x0000:0x0000:0x0000:0x0000:4:6:1:0:0,3:0x0000:0x0000:0x0000:0x0101:0x0000:0x0000:0x0000:0x0000:0:2:1:0:0,4:0x0000:0x0000:0x0100:0x1001:0x0000:0x0000:0x0000:0x0000:0:3:1:0:0|protected=0x0808:0x0001|relationships=0:5:3:0:0:0xffff:1:3:0:0:0:0:85,1:0:0:1:0:0xffff:0:0:0:0:0:0:0|transforms=|trajectories=1:100:7|timing=1:0x1111:0x001c|density=11:15:27:7|mutation=0:0:0:0:0:0:0:0,2:0:0:0:4:0:0:0,3:0:0:0:1:0:0:0	c54b7d04d07ca1f0201bca31571028caf443694bc0f4448619bd43a9fa05803b	cddc2d02365582405e368741d611c25d960a1e1d8e05059afa6bb2e3f99c928d
408	7	sparse_acid	7	116	132	family=7|suggestedBpmMin=116|suggestedBpmMax=132|allowedPhraseBars=1|activeRoles=0x003f|lanes=0:0x0000:0x8080:0x0008:0x0000:0x0000:0x0000:0x0000:0x0000:2:3:1:0:0,1:0x0000:0x0808:0x0000:0x0000:0x0000:0x0000:0x0000:0x0000:2:2:1:0:0,2:0x0000:0x2020:0x0000:0x0202:0x0000:0x0000:0x0000:0x0000:2:4:1:0:0,3:0x0000:0x0000:0x0000:0x0101:0x0000:0x0000:0x0000:0x0000:0:1:1:0:0,4:0x0000:0x0000:0x0000:0x1010:0x0000:0x0000:0x0000:0x0000:0:1:1:0:0,5:0x0000:0x8000:0x0202:0x1010:0x0000:0x0200:0x8002:0x0000:2:4:1:0:0|protected=|relationships=0:5:3:0:0:0xffff:1:3:0:0:0:0:75,2:5:4:0:0:0xffff:0:0:0:0:0:0:45|transforms=|trajectories=1:100:7|timing=1:0x1111:0x003c|density=8:8:18:4|mutation=0:0:0:0:0:0:0:0,2:0:0:0:4:0:0:0,3:0:0:0:1:0:0:0	family=7|suggestedBpmMin=116|suggestedBpmMax=132|allowedPhraseBars=1|activeRoles=0x001f|lanes=0:0x0000:0x8080:0x0008:0x0000:0x0000:0x0000:0x0000:0x0000:2:3:1:0:0,1:0x0000:0x0808:0x0000:0x0000:0x0000:0x0000:0x0000:0x0000:2:2:1:0:0,2:0x0000:0x2020:0x0000:0x0202:0x0000:0x0000:0x0000:0x0000:2:4:1:0:0,3:0x0000:0x0000:0x0000:0x0101:0x0000:0x0000:0x0000:0x0000:0:1:1:0:0,4:0x0000:0x0000:0x0000:0x1010:0x0000:0x0000:0x0000:0x0000:0:1:1:0:0|protected=|relationships=0:5:3:0:0:0xffff:1:3:0:0:0:0:75,2:5:4:0:0:0xffff:0:0:0:0:0:0:45|transforms=|trajectories=1:100:7|timing=1:0x1111:0x001c|density=8:8:18:4|mutation=0:0:0:0:0:0:0:0,2:0:0:0:4:0:0:0,3:0:0:0:1:0:0:0	05d7b1d0e73d005dd9ffa4b3801f66add9178290a1391162b38c2a35fd13c478	056302ee081226bdb7b6b966f8a13a032bd9030d864a7da793dea2e893fd6259
409	8	one_drop_space	5	72	122	family=5|suggestedBpmMin=72|suggestedBpmMax=122|allowedPhraseBars=1|activeRoles=0x007f|lanes=0:0x0000:0x0080:0x0000:0x0000:0x0000:0x0000:0x0000:0x0000:1:1:1:0:0,1:0x0000:0x0080:0x0000:0x0000:0x0000:0x0000:0x0000:0x0000:1:1:1:0:0,2:0x0000:0x2222:0x0000:0x0000:0x0000:0x0000:0x0000:0x0000:4:4:1:0:0,3:0x0000:0x0000:0x1010:0x0000:0x0000:0x0000:0x0000:0x0000:0:2:1:0:0,4:0x0000:0x0000:0x0101:0x0404:0x0000:0x0000:0x0000:0x0000:0:3:1:0:0,5:0x0000:0x8000:0x0202:0x0020:0x0000:0x0000:0x8002:0x0000:1:4:1:0:0,6:0x0000:0x2222:0x0000:0x0000:0x0000:0x2020:0x0000:0x0000:4:4:0:0:0|protected=0x0808:0x0021|relationships=0:1:1:1:0:0xffff:0:0:1:1:0:0:0,0:5:3:0:0:0xffff:1:6:0:0:0:0:65|transforms=|trajectories=1:100:7|timing=1:0x1111:0x007c|density=13:15:21:4|mutation=0:0:0:0:0:0:0:0,2:0:0:0:4:0:0:0,3:0:0:0:1:0:0:0	family=5|suggestedBpmMin=72|suggestedBpmMax=122|allowedPhraseBars=1|activeRoles=0x001f|lanes=0:0x0000:0x0080:0x0000:0x0000:0x0000:0x0000:0x0000:0x0000:1:1:1:0:0,1:0x0000:0x0080:0x0000:0x0000:0x0000:0x0000:0x0000:0x0000:1:1:1:0:0,2:0x0000:0x2222:0x0000:0x0000:0x0000:0x0000:0x0000:0x0000:4:4:1:0:0,3:0x0000:0x0000:0x1010:0x0000:0x0000:0x0000:0x0000:0x0000:0:2:1:0:0,4:0x0000:0x0000:0x0101:0x0404:0x0000:0x0000:0x0000:0x0000:0:3:1:0:0|protected=0x0808:0x0001|relationships=0:1:1:1:0:0xffff:0:0:1:1:0:0:0,0:5:3:0:0:0xffff:1:6:0:0:0:0:65|transforms=|trajectories=1:100:7|timing=1:0x1111:0x001c|density=13:15:21:4|mutation=0:0:0:0:0:0:0:0,2:0:0:0:4:0:0:0,3:0:0:0:1:0:0:0	b326bb6f6290f7da0681dd6f1b455799de9cc3dd222315f3d7669cae4b11a5f6	4e854e08e0bbbd7666b3b1ec742056ded86871736489d2f1612c8526756029d0
410	9	steppers	5	108	132	family=5|suggestedBpmMin=108|suggestedBpmMax=132|allowedPhraseBars=1|activeRoles=0x007f|lanes=0:0x0000:0x8888:0x0000:0x0000:0x0000:0x0000:0x0000:0x0000:4:4:1:0:0,1:0x0000:0x0808:0x0000:0x0000:0x0000:0x0000:0x0000:0x0000:2:2:1:0:0,2:0x0000:0x2222:0x0000:0x0000:0x0000:0x0000:0x0000:0x0000:4:4:1:0:0,3:0x0000:0x0000:0x1010:0x0000:0x0000:0x0000:0x0000:0x0000:0:2:1:0:0,4:0x0000:0x0000:0x0101:0x0404:0x0000:0x0000:0x0000:0x0000:0:3:1:0:0,5:0x0000:0x8080:0x0202:0x0020:0x0000:0x0000:0x8002:0x0000:2:4:1:0:0,6:0x0000:0x2020:0x0202:0x0000:0x0000:0x2020:0x0000:0x0000:2:4:0:0:0|protected=|relationships=0:4:4:0:0:0xffff:0:0:0:0:0:0:35,0:6:3:0:0:0xffff:2:2:0:0:0:0:75|transforms=|trajectories=1:100:7|timing=1:0x1111:0x007c|density=16:19:25:5|mutation=0:0:0:0:0:0:0:0,2:0:0:0:4:0:0:0,3:0:0:0:1:0:0:0	family=5|suggestedBpmMin=108|suggestedBpmMax=132|allowedPhraseBars=1|activeRoles=0x001f|lanes=0:0x0000:0x8888:0x0000:0x0000:0x0000:0x0000:0x0000:0x0000:4:4:1:0:0,1:0x0000:0x0808:0x0000:0x0000:0x0000:0x0000:0x0000:0x0000:2:2:1:0:0,2:0x0000:0x2222:0x0000:0x0000:0x0000:0x0000:0x0000:0x0000:4:4:1:0:0,3:0x0000:0x0000:0x1010:0x0000:0x0000:0x0000:0x0000:0x0000:0:2:1:0:0,4:0x0000:0x0000:0x0101:0x0404:0x0000:0x0000:0x0000:0x0000:0:3:1:0:0|protected=|relationships=0:4:4:0:0:0xffff:0:0:0:0:0:0:35,0:6:3:0:0:0xffff:2:2:0:0:0:0:75|transforms=|trajectories=1:100:7|timing=1:0x1111:0x001c|density=16:19:25:5|mutation=0:0:0:0:0:0:0:0,2:0:0:0:4:0:0:0,3:0:0:0:1:0:0:0	8f64dffc87c8de8501738925ec0edd4651b6ee9d180197f6b231eebae1588c6a	7a4e3daadc58b77247dfab8a497947ac87c764ab37acda38a7c05b39f1c3f43a
