rank	owner_mode	owner_genre	recipe_id	recipe_name	rows	effective_candidate_count	observed_archetype_count	observed_archetypes	fully_observed	rhythm_family_count	rhythm_families	observed_bass_identity_count	observed_bass_identities	exact_proven_admission_alias	alias_owner_mode	alias_recipe_id	ranking_tier	score	candidate_predicate	evidence	promotion_decision	blocking_reason
1	0	Acid	6	Chicago Jack	384	2	2	405,408	1	2	FourFloor,SparsePulse	4	2,5,7,9	0			C_MIXED_FAMILY_PLURAL	2	effective admitted set spans RhythmFamily={FourFloor,SparsePulse}; a family-only predicate is insufficient	observed 2/2 archetypes; family_count=2; rows=384	BLOCKED	FAMILY_ONLY_PREDICATE_WOULD_BE_OVERBROAD
2	0	Acid	7	Rolling Acid	384	2	2	406,407	1	2	FourFloor,MachineSyncopation	4	2,5,7,9	0			C_MIXED_FAMILY_PLURAL	2	effective admitted set spans RhythmFamily={FourFloor,MachineSyncopation}; a family-only predicate is insufficient	observed 2/2 archetypes; family_count=2; rows=384	BLOCKED	FAMILY_ONLY_PREDICATE_WOULD_BE_OVERBROAD
3	7	Broken	9	Dark Skippy	384	2	2	418,420	1	2	MachineSyncopation,UkTwoStep	5	3,4,6,8,10	0			C_MIXED_FAMILY_PLURAL	2	effective admitted set spans RhythmFamily={MachineSyncopation,UkTwoStep}; a family-only predicate is insufficient	observed 2/2 archetypes; family_count=2; rows=384	BLOCKED	FAMILY_ONLY_PREDICATE_WOULD_BE_OVERBROAD
4	11	Hip-Hop	17	Dusty Jazz	384	3	3	415,416,713	1	2	Breakbeat,Funk16	5	3,4,6,8,9	0			C_MIXED_FAMILY_PLURAL	2	effective admitted set spans RhythmFamily={Breakbeat,Funk16}; a family-only predicate is insufficient	observed 3/3 archetypes; family_count=2; rows=384	BLOCKED	FAMILY_ONLY_PREDICATE_WOULD_BE_OVERBROAD
5	12	Funk/Soul	0	BASE	384	3	3	415,416,713	1	2	Breakbeat,Funk16	5	3,4,6,8,9	0			C_MIXED_FAMILY_PLURAL	2	effective admitted set spans RhythmFamily={Breakbeat,Funk16}; a family-only predicate is insufficient	observed 3/3 archetypes; family_count=2; rows=384	BLOCKED	FAMILY_ONLY_PREDICATE_WOULD_BE_OVERBROAD
6	15	Lo-Fi	12	Classic Chill	384	3	3	415,416,713	1	2	Breakbeat,Funk16	5	3,4,6,8,10	0			C_MIXED_FAMILY_PLURAL	2	effective admitted set spans RhythmFamily={Breakbeat,Funk16}; a family-only predicate is insufficient	observed 3/3 archetypes; family_count=2; rows=384	BLOCKED	FAMILY_ONLY_PREDICATE_WOULD_BE_OVERBROAD
7	15	Lo-Fi	15	Minimal Sleep	384	3	3	403,415,416	1	2	Breakbeat,FourFloor	5	3,4,6,8,10	0			C_MIXED_FAMILY_PLURAL	2	effective admitted set spans RhythmFamily={Breakbeat,FourFloor}; a family-only predicate is insufficient	observed 3/3 archetypes; family_count=2; rows=384	BLOCKED	FAMILY_ONLY_PREDICATE_WOULD_BE_OVERBROAD
8	0	Acid	0	BASE	384	4	4	405,406,407,408	1	3	FourFloor,MachineSyncopation,SparsePulse	4	2,5,7,9	0			C_MIXED_FAMILY_PLURAL	2	effective admitted set spans RhythmFamily={FourFloor,MachineSyncopation,SparsePulse}; a family-only predicate is insufficient	observed 4/4 archetypes; family_count=3; rows=384	BLOCKED	FAMILY_ONLY_PREDICATE_WOULD_BE_OVERBROAD
9	1	Outrun	0	BASE	384	4	4	401,403,711,713	1	2	FourFloor,Funk16	3	1,7,9	0			C_MIXED_FAMILY_PLURAL	2	effective admitted set spans RhythmFamily={FourFloor,Funk16}; a family-only predicate is insufficient	observed 4/4 archetypes; family_count=2; rows=384	BLOCKED	FAMILY_ONLY_PREDICATE_WOULD_BE_OVERBROAD
10	3	Electro	0	BASE	384	4	4	404,420,712,714	1	2	HipHopBackbeat,MachineSyncopation	4	3,4,5,9	0			C_MIXED_FAMILY_PLURAL	2	effective admitted set spans RhythmFamily={HipHopBackbeat,MachineSyncopation}; a family-only predicate is insufficient	observed 4/4 archetypes; family_count=2; rows=384	BLOCKED	FAMILY_ONLY_PREDICATE_WOULD_BE_OVERBROAD
