owner_mode	owner_genre	recipe_id	recipe_name	identity_ordinal	P_level	raw_candidate_count	effective_candidate_count	raw_effective_reconciliation	selected_archetype_id	selected_archetype_name	weight_provenance	reachability_state	RhythmFamily	structural_signature	structural_minmax_summary	materialized_signature	bass_identity	chord_identity	melodic_identity	motif_identity	secondary_role	phrase_law_metadata	effective_density	selection_seed	realization_seed	contract_id	contract_status	contract_scope	contract_quantifier	expected_witness	actual_witness	evaluation	reason	offending_stage
0	Acid	0	BASE	1	P1	4	4	IDENTICAL	405	straight_acid	120	AUTO_OBSERVED	FourFloor	5cd43775	0:4-4,1:2-2,2:4-4,3:0-2,4:0-2,5:5-8	9a8d72a3	9	3	10	1	1	1	20	286314108	286314108	I6-REVIEW-RHYTHM-OWNERSHIP	REVIEW_REQUIRED	rhythm admission	not established	NOT_ASSESSED	OBSERVED_STRUCTURE_ONLY	UNKNOWN	no applicable PROVEN owner admission contract in I6	UNKNOWN_STAGE
0	Acid	0	BASE	1	P2	4	4	IDENTICAL	405	straight_acid	120	AUTO_OBSERVED	FourFloor	5cd43775	0:4-4,1:2-2,2:4-4,3:0-2,4:0-2,5:5-8	ce15adf9	9	3	10	1	1	1	20	286314108	286314108	I6-REVIEW-RHYTHM-OWNERSHIP	REVIEW_REQUIRED	rhythm admission	not established	NOT_ASSESSED	OBSERVED_STRUCTURE_ONLY	UNKNOWN	no applicable PROVEN owner admission contract in I6	UNKNOWN_STAGE
0	Acid	0	BASE	1	P3	4	4	IDENTICAL	405	straight_acid	120	AUTO_OBSERVED	FourFloor	5cd43775	0:4-4,1:2-2,2:4-4,3:0-2,4:0-2,5:5-8	ce15adf9	9	3	10	1	1	1	20	286314108	286314108	I6-REVIEW-RHYTHM-OWNERSHIP	REVIEW_REQUIRED	rhythm admission	not established	NOT_ASSESSED	OBSERVED_STRUCTURE_ONLY	UNKNOWN	no applicable PROVEN owner admission contract in I6	UNKNOWN_STAGE
0	Acid	0	BASE	2	P1	4	4	IDENTICAL	405	straight_acid	120	AUTO_OBSERVED	FourFloor	5cd43775	0:4-4,1:2-2,2:4-4,3:0-2,4:0-2,5:5-8	4b088d36	5	6	4	5	1	0	20	286314108	286314108	I6-REVIEW-RHYTHM-OWNERSHIP	REVIEW_REQUIRED	rhythm admission	not established	NOT_ASSESSED	OBSERVED_STRUCTURE_ONLY	UNKNOWN	no applicable PROVEN owner admission contract in I6	UNKNOWN_STAGE
0	Acid	0	BASE	2	P2	4	4	IDENTICAL	405	straight_acid	120	AUTO_OBSERVED	FourFloor	5cd43775	0:4-4,1:2-2,2:4-4,3:0-2,4:0-2,5:5-8	a412229c	5	6	4	5	1	0	20	286314108	286314108	I6-REVIEW-RHYTHM-OWNERSHIP	REVIEW_REQUIRED	rhythm admission	not established	NOT_ASSESSED	OBSERVED_STRUCTURE_ONLY	UNKNOWN	no applicable PROVEN owner admission contract in I6	UNKNOWN_STAGE
0	Acid	0	BASE	2	P3	4	4	IDENTICAL	405	straight_acid	120	AUTO_OBSERVED	FourFloor	5cd43775	0:4-4,1:2-2,2:4-4,3:0-2,4:0-2,5:5-8	a412229c	5	6	4	5	1	0	20	286314108	286314108	I6-REVIEW-RHYTHM-OWNERSHIP	REVIEW_REQUIRED	rhythm admission	not established	NOT_ASSESSED	OBSERVED_STRUCTURE_ONLY	UNKNOWN	no applicable PROVEN owner admission contract in I6	UNKNOWN_STAGE
0	Acid	0	BASE	3	P1	4	4	IDENTICAL	406	rolling_acid	110	AUTO_OBSERVED	FourFloor	76ccff76	0:4-4,1:2-2,2:2-4,3:0-2,4:0-2,5:2-10	291c1027	5	6	3	2	1	1	19	286314108	286314108	I6-REVIEW-RHYTHM-OWNERSHIP	REVIEW_REQUIRED	rhythm admission	not established	NOT_ASSESSED	OBSERVED_STRUCTURE_ONLY	UNKNOWN	no applicable PROVEN owner admission contract in I6	UNKNOWN_STAGE
0	Acid	0	BASE	3	P2	4	4	IDENTICAL	406	rolling_acid	110	AUTO_OBSERVED	FourFloor	76ccff76	0:4-4,1:2-2,2:2-4,3:0-2,4:0-2,5:2-10	7bab2361	5	6	3	2	1	1	19	286314108	286314108	I6-REVIEW-RHYTHM-OWNERSHIP	REVIEW_REQUIRED	rhythm admission	not established	NOT_ASSESSED	OBSERVED_STRUCTURE_ONLY	UNKNOWN	no applicable PROVEN owner admission contract in I6	UNKNOWN_STAGE
0	Acid	0	BASE	3	P3	4	4	IDENTICAL	406	rolling_acid	110	AUTO_OBSERVED	FourFloor	76ccff76	0:4-4,1:2-2,2:2-4,3:0-2,4:0-2,5:2-10	ad1230c7	5	6	3	2	1	1	19	286314108	286314108	I6-REVIEW-RHYTHM-OWNERSHIP	REVIEW_REQUIRED	rhythm admission	not established	NOT_ASSESSED	OBSERVED_STRUCTURE_ONLY	UNKNOWN	no applicable PROVEN owner admission contract in I6	UNKNOWN_STAGE
0	Acid	0	BASE	4	P1	4	4	IDENTICAL	406	rolling_acid	110	AUTO_OBSERVED	FourFloor	76ccff76	0:4-4,1:2-2,2:2-4,3:0-2,4:0-2,5:2-10	fd797599	7	4	8	2	1	0	19	286314108	286314108	I6-REVIEW-RHYTHM-OWNERSHIP	REVIEW_REQUIRED	rhythm admission	not established	NOT_ASSESSED	OBSERVED_STRUCTURE_ONLY	UNKNOWN	no applicable PROVEN owner admission contract in I6	UNKNOWN_STAGE
0	Acid	0	BASE	4	P2	4	4	IDENTICAL	406	rolling_acid	110	AUTO_OBSERVED	FourFloor	76ccff76	0:4-4,1:2-2,2:2-4,3:0-2,4:0-2,5:2-10	af2de37f	7	4	8	2	1	0	19	286314108	286314108	I6-REVIEW-RHYTHM-OWNERSHIP	REVIEW_REQUIRED	rhythm admission	not established	NOT_ASSESSED	OBSERVED_STRUCTURE_ONLY	UNKNOWN	no applicable PROVEN owner admission contract in I6	UNKNOWN_STAGE
0	Acid	0	BASE	4	P3	4	4	IDENTICAL	406	rolling_acid	110	AUTO_OBSERVED	FourFloor	76ccff76	0:4-4,1:2-2,2:2-4,3:0-2,4:0-2,5:2-10	7a6aba39	7	4	8	2	1	0	19	286314108	286314108	I6-REVIEW-RHYTHM-OWNERSHIP	REVIEW_REQUIRED	rhythm admission	not established	NOT_ASSESSED	OBSERVED_STRUCTURE_ONLY	UNKNOWN	no applicable PROVEN owner admission contract in I6	UNKNOWN_STAGE
0	Acid	0	BASE	5	P1	4	4	IDENTICAL	406	rolling_acid	110	AUTO_OBSERVED	FourFloor	76ccff76	0:4-4,1:2-2,2:2-4,3:0-2,4:0-2,5:2-10	e1109af1	9	6	3	5	1	2	19	286314108	286314108	I6-REVIEW-RHYTHM-OWNERSHIP	REVIEW_REQUIRED	rhythm admission	not established	NOT_ASSESSED	OBSERVED_STRUCTURE_ONLY	UNKNOWN	no applicable PROVEN owner admission contract in I6	UNKNOWN_STAGE
0	Acid	0	BASE	5	P2	4	4	IDENTICAL	406	rolling_acid	110	AUTO_OBSERVED	FourFloor	76ccff76	0:4-4,1:2-2,2:2-4,3:0-2,4:0-2,5:2-10	406591fb	9	6	3	5	1	2	19	286314108	286314108	I6-REVIEW-RHYTHM-OWNERSHIP	REVIEW_REQUIRED	rhythm admission	not established	NOT_ASSESSED	OBSERVED_STRUCTURE_ONLY	UNKNOWN	no applicable PROVEN owner admission contract in I6	UNKNOWN_STAGE
0	Acid	0	BASE	5	P3	4	4	IDENTICAL	406	rolling_acid	110	AUTO_OBSERVED	FourFloor	76ccff76	0:4-4,1:2-2,2:2-4,3:0-2,4:0-2,5:2-10	8d323d11	9	6	3	5	1	2	19	286314108	286314108	I6-REVIEW-RHYTHM-OWNERSHIP	REVIEW_REQUIRED	rhythm admission	not established	NOT_ASSESSED	OBSERVED_STRUCTURE_ONLY	UNKNOWN	no applicable PROVEN owner admission contract in I6	UNKNOWN_STAGE
0	Acid	0	BASE	6	P1	4	4	IDENTICAL	405	straight_acid	120	AUTO_OBSERVED	FourFloor	5cd43775	0:4-4,1:2-2,2:4-4,3:0-2,4:0-2,5:5-8	14e6e87b	5	4	10	5	1	1	20	286314108	286314108	I6-REVIEW-RHYTHM-OWNERSHIP	REVIEW_REQUIRED	rhythm admission	not established	NOT_ASSESSED	OBSERVED_STRUCTURE_ONLY	UNKNOWN	no applicable PROVEN owner admission contract in I6	UNKNOWN_STAGE
0	Acid	0	BASE	6	P2	4	4	IDENTICAL	405	straight_acid	120	AUTO_OBSERVED	FourFloor	5cd43775	0:4-4,1:2-2,2:4-4,3:0-2,4:0-2,5:5-8	f1d3485d	5	4	10	5	1	1	20	286314108	286314108	I6-REVIEW-RHYTHM-OWNERSHIP	REVIEW_REQUIRED	rhythm admission	not established	NOT_ASSESSED	OBSERVED_STRUCTURE_ONLY	UNKNOWN	no applicable PROVEN owner admission contract in I6	UNKNOWN_STAGE
0	Acid	0	BASE	6	P3	4	4	IDENTICAL	405	straight_acid	120	AUTO_OBSERVED	FourFloor	5cd43775	0:4-4,1:2-2,2:4-4,3:0-2,4:0-2,5:5-8	f1d3485d	5	4	10	5	1	1	20	286314108	286314108	I6-REVIEW-RHYTHM-OWNERSHIP	REVIEW_REQUIRED	rhythm admission	not established	NOT_ASSESSED	OBSERVED_STRUCTURE_ONLY	UNKNOWN	no applicable PROVEN owner admission contract in I6	UNKNOWN_STAGE
