profile_id	genre	recipe	seed_coverage	depth_coverage	realization_count	accepted_count	failure_count	rhythm_signature_count	bass_signature_count	harmony_signature_count	phrase_signature_count	role_signature_count	transformation_signature_count	negative_signature_count	density_target_min	density_target_max	density_target_distinct	materialized_events_min	materialized_events_max	timing_effect_rows	timing_zero_rows	max_timing_delta	phrase_admitted_rows	phrase_changed_rows	role_participation_distribution	secondary_role_distribution	depth_triplets	depth_role_change_triplets	depth_supporting_activity_change_triplets	depth_structural_change_triplets	pair_structurally_distinct	pair_partially_distinct	pair_timbre_dependent	pair_structurally_redundant	pair_insufficient_evidence
Acid/BASE	Acid	BASE	55	P1,P2,P3	165	165	0	47	54	11	56	2	9	1	14	21	4	14	28	0	165	0	165	162	participating=DRUMS,BASS,MELODIC;secondary=MELODIC;chord=NO;melodic=YES;synth_b_active=NO:45,participating=DRUMS,BASS,MELODIC;secondary=MELODIC;chord=NO;melodic=YES;synth_b_active=YES:120	MELODIC:165	55	0	0	55	17	15	0	0	0
Acid/Chicago Jack	Acid	Chicago Jack	55	P1,P2,P3	165	165	0	25	38	11	37	2	5	1	14	20	2	14	24	0	165	0	165	120	participating=DRUMS,BASS,MELODIC;secondary=MELODIC;chord=NO;melodic=YES;synth_b_active=NO:45,participating=DRUMS,BASS,MELODIC;secondary=MELODIC;chord=NO;melodic=YES;synth_b_active=YES:120	MELODIC:165	55	0	0	55	20	12	0	0	0
Acid/Rolling Acid	Acid	Rolling Acid	55	P1,P2,P3	165	165	0	36	46	14	54	2	5	1	21	23	2	15	26	0	165	0	165	144	participating=DRUMS,BASS,MELODIC;secondary=MELODIC;chord=NO;melodic=YES;synth_b_active=NO:57,participating=DRUMS,BASS,MELODIC;secondary=MELODIC;chord=NO;melodic=YES;synth_b_active=YES:108	MELODIC:165	55	0	0	55	20	12	0	0	0
Breaks/BASE	Breaks	BASE	55	P1,P2,P3	165	165	0	83	59	18	98	2	27	2	15	23	6	15	29	0	165	0	165	159	participating=DRUMS,BASS,MELODIC;secondary=MELODIC;chord=NO;melodic=YES;synth_b_active=NO:39,participating=DRUMS,BASS,MELODIC;secondary=MELODIC;chord=NO;melodic=YES;synth_b_active=YES:126	MELODIC:165	55	0	0	55	15	17	0	0	0
Breaks/Classic 2-Step	Breaks	Classic 2-Step	55	P1,P2,P3	165	165	0	14	64	18	113	2	12	2	18	20	2	16	27	0	165	0	165	164	participating=DRUMS,BASS,MELODIC;secondary=MELODIC;chord=NO;melodic=YES;synth_b_active=NO:39,participating=DRUMS,BASS,MELODIC;secondary=MELODIC;chord=NO;melodic=YES;synth_b_active=YES:126	MELODIC:165	55	0	0	55	18	14	0	0	0
Breaks/Dark Skippy	Breaks	Dark Skippy	55	P1,P2,P3	165	165	0	25	31	16	129	2	10	3	18	19	2	17	26	0	165	0	165	165	participating=DRUMS,BASS,MELODIC;secondary=MELODIC;chord=NO;melodic=YES;synth_b_active=NO:1,participating=DRUMS,BASS,MELODIC;secondary=MELODIC;chord=NO;melodic=YES;synth_b_active=YES:164	MELODIC:165	55	0	1	55	29	3	0	0	0
Breaks/Drum&Bass	Breaks	Drum&Bass	55	P1,P2,P3	165	165	0	52	56	14	64	2	24	3	16	24	4	16	31	0	165	0	165	117	participating=DRUMS,BASS,MELODIC;secondary=MELODIC;chord=NO;melodic=YES;synth_b_active=NO:44,participating=DRUMS,BASS,MELODIC;secondary=MELODIC;chord=NO;melodic=YES;synth_b_active=YES:121	MELODIC:165	55	0	1	44	24	8	0	0	0
Breaks/Footwork	Breaks	Footwork	55	P1,P2,P3	165	165	0	46	51	16	106	2	20	2	14	23	4	16	27	0	165	0	165	162	participating=DRUMS,BASS,MELODIC;secondary=MELODIC;chord=NO;melodic=YES;synth_b_active=NO:30,participating=DRUMS,BASS,MELODIC;secondary=MELODIC;chord=NO;melodic=YES;synth_b_active=YES:135	MELODIC:165	55	0	0	49	21	11	0	0	0
Breaks/UK Garage	Breaks	UK Garage	55	P1,P2,P3	165	165	0	50	58	19	114	2	20	3	18	21	3	17	27	0	165	0	165	165	participating=DRUMS,BASS,MELODIC;secondary=MELODIC;chord=NO;melodic=YES;synth_b_active=NO:34,participating=DRUMS,BASS,MELODIC;secondary=MELODIC;chord=NO;melodic=YES;synth_b_active=YES:131	MELODIC:165	55	0	1	55	18	14	0	0	0
Chip/BASE	Chip	BASE	55	P1,P2,P3	165	165	0	109	73	17	50	2	10	2	12	22	4	16	29	0	165	0	165	117	participating=DRUMS,BASS,MELODIC;secondary=MELODIC;chord=NO;melodic=YES;synth_b_active=NO:18,participating=DRUMS,BASS,MELODIC;secondary=MELODIC;chord=NO;melodic=YES;synth_b_active=YES:147	MELODIC:165	55	0	0	55	18	14	0	0	0
Darksynth/BASE	Darksynth	BASE	55	P1,P2,P3	165	165	0	57	69	18	75	2	9	2	12	17	4	14	26	0	165	0	165	165	participating=DRUMS,BASS,MELODIC;secondary=MELODIC;chord=NO;melodic=YES;synth_b_active=NO:54,participating=DRUMS,BASS,MELODIC;secondary=MELODIC;chord=NO;melodic=YES;synth_b_active=YES:111	MELODIC:165	55	0	0	55	20	12	0	0	0
Drum&Bass/BASE	Drum&Bass	BASE	55	P1,P2,P3	165	165	0	73	65	17	56	2	26	2	16	24	4	16	31	0	165	0	165	117	participating=DRUMS,BASS,MELODIC;secondary=MELODIC;chord=NO;melodic=YES;synth_b_active=NO:30,participating=DRUMS,BASS,MELODIC;secondary=MELODIC;chord=NO;melodic=YES;synth_b_active=YES:135	MELODIC:165	55	0	0	49	21	11	0	0	0
Dub/Reggae/BASE	Dub/Reggae	BASE	55	P1,P2,P3	165	165	0	63	29	18	39	2	10	4	13	19	4	10	36	96	69	1	165	156	participating=DRUMS,BASS,CHORD;secondary=CHORD;chord=YES;melodic=NO;synth_b_active=NO:27,participating=DRUMS,BASS,CHORD;secondary=CHORD;chord=YES;melodic=NO;synth_b_active=YES:138	CHORD:165	55	0	0	55	28	4	0	0	0
Dub/Reggae/Deep Chord	Dub/Reggae	Deep Chord	55	P1,P2,P3	165	165	0	40	20	19	49	2	13	7	14	14	1	10	32	105	60	1	165	137	participating=DRUMS,BASS,CHORD;secondary=CHORD;chord=YES;melodic=NO;synth_b_active=NO:15,participating=DRUMS,BASS,CHORD;secondary=CHORD;chord=YES;melodic=NO;synth_b_active=YES:150	CHORD:165	55	0	7	55	28	4	0	0	0
Dub/Reggae/Dub Techno	Dub/Reggae	Dub Techno	55	P1,P2,P3	165	165	0	62	24	18	41	2	9	5	12	19	4	8	36	96	69	1	165	150	participating=DRUMS,BASS,CHORD;secondary=CHORD;chord=YES;melodic=NO;synth_b_active=NO:44,participating=DRUMS,BASS,CHORD;secondary=CHORD;chord=YES;melodic=NO;synth_b_active=YES:121	CHORD:165	55	0	2	55	28	4	0	0	0
Dub/Reggae/Minimal Space	Dub/Reggae	Minimal Space	55	P1,P2,P3	165	165	0	79	25	22	42	2	12	6	12	15	3	8	22	90	75	1	165	146	participating=DRUMS,BASS,CHORD;secondary=CHORD;chord=YES;melodic=NO;synth_b_active=NO:29,participating=DRUMS,BASS,CHORD;secondary=CHORD;chord=YES;melodic=NO;synth_b_active=YES:136	CHORD:165	55	0	3	55	28	4	0	0	0
Electro/BASE	Electro	BASE	55	P1,P2,P3	165	165	0	39	70	19	126	2	19	2	12	20	4	16	27	0	165	0	165	164	participating=DRUMS,BASS,MELODIC;secondary=MELODIC;chord=NO;melodic=YES;synth_b_active=NO:21,participating=DRUMS,BASS,MELODIC;secondary=MELODIC;chord=NO;melodic=YES;synth_b_active=YES:144	MELODIC:165	55	0	0	55	23	9	0	0	0
Funk/Soul/BASE	Funk/Soul	BASE	55	P1,P2,P3	165	165	0	44	60	34	105	4	17	1	13	18	3	13	35	0	165	0	165	165	participating=DRUMS,BASS,CHORD,MELODIC;secondary=HYBRID;chord=YES;melodic=YES;synth_b_active=NO:6,participating=DRUMS,BASS,CHORD,MELODIC;secondary=HYBRID;chord=YES;melodic=YES;synth_b_active=YES:150,participating=DRUMS,CHORD,MELODIC;secondary=HYBRID;chord=YES;melodic=YES;synth_b_active=NO:3,participating=DRUMS,CHORD,MELODIC;secondary=HYBRID;chord=YES;melodic=YES;synth_b_active=YES:6	HYBRID:165	55	0	0	55	24	8	0	0	0
Hip-Hop/BASE	Hip-Hop	BASE	55	P1,P2,P3	165	165	0	99	82	44	121	3	21	4	11	17	4	14	37	54	111	1	165	164	participating=DRUMS,BASS,CHORD,MELODIC;secondary=HYBRID;chord=YES;melodic=YES;synth_b_active=NO:15,participating=DRUMS,BASS,CHORD,MELODIC;secondary=HYBRID;chord=YES;melodic=YES;synth_b_active=YES:138,participating=DRUMS,CHORD,MELODIC;secondary=HYBRID;chord=YES;melodic=YES;synth_b_active=YES:12	HYBRID:165	55	0	0	55	25	7	0	0	0
Hip-Hop/Dusty Jazz	Hip-Hop	Dusty Jazz	55	P1,P2,P3	165	165	0	87	70	52	103	3	19	4	11	16	3	13	34	48	117	1	165	165	participating=DRUMS,BASS,CHORD,MELODIC;secondary=HYBRID;chord=YES;melodic=YES;synth_b_active=NO:18,participating=DRUMS,BASS,CHORD,MELODIC;secondary=HYBRID;chord=YES;melodic=YES;synth_b_active=YES:132,participating=DRUMS,CHORD,MELODIC;secondary=HYBRID;chord=YES;melodic=YES;synth_b_active=YES:15	HYBRID:165	55	0	0	55	25	7	0	0	0
Hip-Hop/Golden Era	Hip-Hop	Golden Era	55	P1,P2,P3	165	165	0	97	66	40	120	4	18	4	11	17	3	12	37	54	111	1	165	162	participating=DRUMS,BASS,CHORD,MELODIC;secondary=HYBRID;chord=YES;melodic=YES;synth_b_active=NO:6,participating=DRUMS,BASS,CHORD,MELODIC;secondary=HYBRID;chord=YES;melodic=YES;synth_b_active=YES:132,participating=DRUMS,CHORD,MELODIC;secondary=HYBRID;chord=YES;melodic=YES;synth_b_active=NO:3,participating=DRUMS,CHORD,MELODIC;secondary=HYBRID;chord=YES;melodic=YES;synth_b_active=YES:24	HYBRID:165	55	0	0	55	24	8	0	0	0
House/BASE	House	BASE	55	P1,P2,P3	165	165	0	78	54	19	28	2	13	2	12	20	5	15	28	0	165	0	165	141	participating=DRUMS,BASS,MELODIC;secondary=MELODIC;chord=NO;melodic=YES;synth_b_active=NO:48,participating=DRUMS,BASS,MELODIC;secondary=MELODIC;chord=NO;melodic=YES;synth_b_active=YES:117	MELODIC:165	55	0	0	55	20	12	0	0	0
Lo-Fi/BASE	Lo-Fi	BASE	55	P1,P2,P3	165	165	0	116	56	37	99	4	13	4	9	15	5	9	38	57	108	1	165	165	participating=DRUMS,BASS,CHORD,MELODIC;secondary=HYBRID;chord=YES;melodic=YES;synth_b_active=NO:12,participating=DRUMS,BASS,CHORD,MELODIC;secondary=HYBRID;chord=YES;melodic=YES;synth_b_active=YES:99,participating=DRUMS,CHORD,MELODIC;secondary=HYBRID;chord=YES;melodic=YES;synth_b_active=NO:6,participating=DRUMS,CHORD,MELODIC;secondary=HYBRID;chord=YES;melodic=YES;synth_b_active=YES:48	HYBRID:165	55	0	0	55	25	7	0	0	0
Lo-Fi/Classic Chill	Lo-Fi	Classic Chill	55	P1,P2,P3	165	165	0	69	64	40	107	4	11	4	10	15	3	11	37	66	99	1	165	165	participating=DRUMS,BASS,CHORD,MELODIC;secondary=HYBRID;chord=YES;melodic=YES;synth_b_active=NO:15,participating=DRUMS,BASS,CHORD,MELODIC;secondary=HYBRID;chord=YES;melodic=YES;synth_b_active=YES:120,participating=DRUMS,CHORD,MELODIC;secondary=HYBRID;chord=YES;melodic=YES;synth_b_active=NO:3,participating=DRUMS,CHORD,MELODIC;secondary=HYBRID;chord=YES;melodic=YES;synth_b_active=YES:27	HYBRID:165	55	0	0	55	25	7	0	0	0
Lo-Fi/Drunken Groove	Lo-Fi	Drunken Groove	55	P1,P2,P3	165	165	0	105	75	38	103	3	15	4	10	16	4	13	35	51	114	1	165	161	participating=DRUMS,BASS,CHORD,MELODIC;secondary=HYBRID;chord=YES;melodic=YES;synth_b_active=NO:15,participating=DRUMS,BASS,CHORD,MELODIC;secondary=HYBRID;chord=YES;melodic=YES;synth_b_active=YES:144,participating=DRUMS,CHORD,MELODIC;secondary=HYBRID;chord=YES;melodic=YES;synth_b_active=YES:6	HYBRID:165	55	0	0	55	24	8	0	0	0
Lo-Fi/Lo-Fi House	Lo-Fi	Lo-Fi House	55	P1,P2,P3	165	165	0	84	80	33	63	2	14	4	11	20	4	15	40	51	114	1	165	159	participating=DRUMS,BASS,CHORD,MELODIC;secondary=HYBRID;chord=YES;melodic=YES;synth_b_active=NO:45,participating=DRUMS,BASS,CHORD,MELODIC;secondary=HYBRID;chord=YES;melodic=YES;synth_b_active=YES:120	HYBRID:165	55	0	0	55	30	2	0	0	0
Lo-Fi/Minimal Sleep	Lo-Fi	Minimal Sleep	55	P1,P2,P3	165	165	0	31	68	35	81	4	9	4	10	14	3	10	34	63	102	1	165	165	participating=DRUMS,BASS,CHORD,MELODIC;secondary=HYBRID;chord=YES;melodic=YES;synth_b_active=NO:9,participating=DRUMS,BASS,CHORD,MELODIC;secondary=HYBRID;chord=YES;melodic=YES;synth_b_active=YES:120,participating=DRUMS,CHORD,MELODIC;secondary=HYBRID;chord=YES;melodic=YES;synth_b_active=NO:3,participating=DRUMS,CHORD,MELODIC;secondary=HYBRID;chord=YES;melodic=YES;synth_b_active=YES:33	HYBRID:165	55	0	0	55	24	8	0	0	0
Rave/BASE	Rave	BASE	55	P1,P2,P3	165	165	0	25	14	10	7	2	11	1	16	22	4	16	30	0	165	0	165	6	participating=DRUMS,BASS,MELODIC;secondary=MELODIC;chord=NO;melodic=YES;synth_b_active=NO:51,participating=DRUMS,BASS,MELODIC;secondary=MELODIC;chord=NO;melodic=YES;synth_b_active=YES:114	MELODIC:165	55	0	0	55	24	8	0	0	0
